Last Name;First Name;Party
Weidel;Alice;AfD
Gauland;Alexander;AfD
Chrupalla;Tino;AfD
von Storch;Beatrix;AfD
Glaser;Albrecht;AfD
Amthor;Philipp;CDU/CSU
Spahn;Jens;CDU/CSU
Leikert;Katja;CDU/CSU
Karliczek;Anja;CDU/CSU
Dobrindt;Alexander;CDU/CSU
Lindner;Christian;FDP
Buschmann;Marco;FDP
Strack-Zimmermann;Marie-Agnes;FDP
Kubicki;Wolfgang;FDP
Teuteberg;Linda;FDP
Lauterbach;Karl;SPD
Maas;Heiko;SPD
Esken;Saskia;SPD
Klingbeil;Lars;SPD
Lambrecht;Christine;SPD
Baerbock;Annalena;Grüne
Habeck;Robert;Grüne
Özdemir;Cem;Grüne
Hofreiter;Anton;Grüne
Roth;Claudia;Grüne
Bartsch;Dietmar;Linke
Gysi;Gregor;Linke
Lötzsch;Gesine;Linke
Akbulut;Gökay;Linke
Riexinger;Bernd;Linke
