id,firstname,lastname,faction,position,date, url,speech
"1001295","Albrecht","Glaser","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\nAch so. Geht die von meiner Zeit ab?"
"1001291","Albrecht","Glaser","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\nHerr Präsident! Meine sehr verehrten Damen und Herren! Verehrte Kolleginnen und Kollegen! Der vorgelegte Antrag ist erstens ein Dokument des real existierenden Populismus:\n\n({0})\n\nEs handele sich um eine Millionärsteuer, welche eine angebliche „steuerliche Privilegierung von Vermögen“ kompensiere. Meine Damen und Herren, das hat eine große Entfernung zu jeder Art von Realitätswahrnehmung, was steuerliche Zusammenhänge angeht. Dies ist ein Appell an die niederen Gefühle gegen die angeblich Reichen, meine Damen und Herren. Das ist Gruppendiskriminierung.\n\n({1})\n\nWenn man in München, Frankfurt und Hamburg drei Wohnungen besitzt – ein kluger Kollege hat es ja schon gut vorgerechnet – und eine davon bewohnt, ist man bereits Vermögensmillionär und wird somit steuerpflichtig. Man wird es jeden Tag mehr – wegen der Immobilienblase, welche der Herr des Schuldenturms in Frankfurt am Main mit Fleiß erzeugt.\n\n({2})\n\nWenn die Blase dann platzt, ist der Wohnungseigentümer wieder ärmer, hat aber vorher die Blasensteuer gezahlt.\n\n({3})\n\nZweitens. Dieser Antrag ist auch ein Dokument des real existierenden Sozialismus, einer Religion, deren Zahl gläubiger Anhänger nach 1989 kleiner geworden ist; aber es gibt sie noch. Ihr Credo lautet: Es ist genug da; man muss es nur richtig verteilen.\n\n({4})\n\nDas kennen wir. Das geht zurück bis 1848. Das ist schon eine ältere Weisheit.\n\nDiese Parole war stets Ausdruck eines völligen Unverständnisses des Wirtschaftsprozesses. Deshalb tritt auch in jedem sozialistischen Land quasi gesetzeskonform die Verarmung der Bevölkerung ein; das ist sozusagen Naturgesetz.\n\n({5})\n\nMeine Damen und Herren, nach der Verarmung kommt dann immer die Totalisierung solcher Staaten. Man muss die Meinungsfreiheit einschränken, und dann muss man autoritäre Systeme einführen, damit nicht ein zweites Mal gewählt werden kann. Nur dann kann man Sozialismus aufrechterhalten.\n\nDer steuerliche Zugriff auf die Vermögenssubstanz, meine Damen und Herren, insbesondere Betriebsvermögen, als Mittel der Staatsfinanzierung ist Kampf gegen jeden prosperierenden Wirtschaftsprozess. Er stellt eine Enteignung dar und verstößt damit gegen Artikel 14 GG; das wäre näher darzustellen nur jenseits von fünf Minuten. Er dient nicht einmal – das ist der Kick – der Umverteilung. Die Suggestion wird aufrechterhalten, aber er dient nicht der Umverteilung, die diesen Eingriff angeblich rechtfertigt; er erhöht allein die Staatseinnahmen.\n\nDas Stichwort „Lastenausgleich“ ist gefallen. Auch ihn haben, glaube ich, nur wenige verstanden. Der Lastenausgleich ging nie in die Staatskasse, sondern das war die Umverteilung von Bürger zu Bürger. Der Staat hatte die Hand nicht dazwischen. Der Lastenausgleich wurde sogar mit Staatsmitteln in einem Sondervermögen angereichert. Das ist das Gegenteil von den Fantasien, die Sie an dieser Stelle verbreiten.\n\n({6})\n\nDeshalb, meine Damen und Herren, ist zu Recht die Lohnsummensteuer als Substanzeingriff bereits in den 70er-Jahren von der SPD-FDP-Koalition abgeschafft worden. Deshalb ist zu Recht 1997 aus den gleichen Gründen die Gewerbekapitalsteuer von der CDU/CSU-FDP-Koalition abgeschafft worden. Deshalb wird die teilweise Zurechnung von Schuldzinsen beim Gewerbeertrag als Bemessungsgrundlage für die Gewerbesteuer zu Recht kritisiert und muss für die Zukunft abgeschafft werden. Deshalb ist zu Recht die Vermögensteuer von der CDU/CSU-FDP-Koalition 1997 in der Erhebung ausgesetzt worden und muss folgerichtig endgültig abgeschafft werden.\n\n({7})\n\nLiebe Freunde, aktuell will Präsident Macron die Vermögensteuer in Frankreich zumindest teilweise abschaffen, um heimische Investoren in Frankreich zu halten. Was für ein kluger Mann! Er war vor einem Jahr noch Wirtschaftsminister einer sozialistischen Regierung in Frankreich. Ein seltsamer Vorgang!\n\n({8})\n\nUnd im Übrigen gilt, meine Damen und Herren: Dieser Staat hat kein Einnahme-, sondern ein Ausgabenproblem,\n\n({9})\n\nund das wird in jüngster Zeit gerade unlösbar gemacht: Die Immigrationswelle wird staatliche Folgekosten von 1 Billion Euro nach sich ziehen – 1 Billion! –"
"1001293","Albrecht","Glaser","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\n– ich komme sofort zum Schluss – und jede weitere Zuwanderung entsprechend mehr. Als mittelbare Staatsverschuldung, wie die Finanzwissenschaft das nennt, sind diese Kosten bereits existent, und sie sind schon berechnet. – Bin ich tatsächlich schon bei fünf Minuten?"
"1001297","Albrecht","Glaser","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\nDann ist gut. Dann darf sie gestellt werden."
"1001299","Albrecht","Glaser","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\nMan muss sich ja ökonomisch verhalten."
"1001302","Albrecht","Glaser","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\nDas ist wahr."
"1001304","Albrecht","Glaser","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\nDas ist nicht wahr."
"1001306","Albrecht","Glaser","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\nDas ist auch nicht wahr."
"1001308","Albrecht","Glaser","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\nOkay."
"1001310","Albrecht","Glaser","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\nGut, das kann ich Ihnen erklären. Sie sind Opfer einer politischen Propaganda – aber davon gibt es ja viele in diesem Land. Ein Linkenpolitiker aus Frankfurt hat dieses Märchen erzählt, und dies auf dem Niveau einer Lokalzeitung.\n\n({0})\n\n– Ja, ja, es steht auch bei Wikipedia. Das ist dasselbe Niveau wie das der Lokalzeitung; denn Wikipedia gibt die „FNP“ als Quelle an, und der Mann in der „FNP“ ist Anglist und weiß alles zu diesem Thema, und das hat er auch geschrieben.\n\nEs hat nie solche Verluste gegeben. Es gibt eine Parallelanlage zu der, die in meiner Kämmerei getätigt worden ist. Sie ist identisch in der Zusatzversorgungskasse – in einem eigenen Entscheidungsprozess – getätigt worden, und die gibt es heute noch. Da die Anlage zu einer Zeit getätigt wurde, als der DAX bei 6 000 stand – der DAX steht heute bei 13 000 –, ist das eine Sensation, nämlich eine Verdopplung des Vermögens der Stadt. Ich will dafür nicht die städtische Verdienstmedaille, aber sie gebührt mir eigentlich.\n\n({1})"
