id,firstname,lastname,faction,position,date, url,speech
"1000789","Beatrix","Storch","AfD","Member of Parliament","2017-12-13T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19005.pdf","\n\nSehr geehrter Herr Minister! Seit Mitte September 2015 werden wieder Grenzkontrollen durchgeführt. Sie haben das in Ihrer Pressekonferenz am 13. September 2017 erklärt. Damit ist § 18 Absatz 2 Satz 1 des Asylgesetzes wieder anwendbar. Darin heißt es: Dem Ausländer, der um Asyl nachsucht, „ist die Einreise zu verweigern, wenn er aus einem sicheren Drittstaat … einreist“.\n\nDeswegen lautet meine Frage: Auf welcher Rechtsgrundlage reisen die Menschen aus sicheren Drittstaaten seit der Einführung der Grenzkontrollen weiter bei uns ein? Welche Rechtsgrundlage nehmen sie in Anspruch?"
"1000905","Beatrix","Storch","AfD","Member of Parliament","2017-12-13T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19005.pdf","\n\nMeine Damen und Herren! Was für eine interessante Debatte und wie schwierig ist sie zu führen. Herr Diaby – wo sitzen Sie? –,\n\n({0})\n\nwir stimmen Ihnen zu – das möchte ich zu dem, was Sie gerade gesagt haben, zusammenfassend sagen –: „Wir wollen keine Gewalt, sondern Frieden.“ Dazu stehen wir genauso; das ist überhaupt nicht das Thema. Darüber reden wir hier heute nicht.\n\n({1})\n\nAber es ist schwierig, mit Linken aller Couleur in diesem Hause über Gewalt zu reden. Ich zitiere Herrn ­Stegner, der zum Schwarzen Block der Antifa am 8. Juli 2017 auf Twitter Folgendes sagte:\n\nAnständige Linke hatten noch nie was mit Gewalttätern gemein. Bei Rechten gehört Gewalt dagegen zur … DNA.\n\n({2})\n\nInsofern haben wir keine gemeinsame Grundlage, auf der wir über Gewalt reden können, weil nach der Definition von Herrn Stegner Gewalt per se gar nicht links sein kann. Falsch, falsch, falsch!\n\nBevor ich mich auf alle anderen Vorredner beziehe, sei eine Sache an das Präsidium gerichtet. Die Kollegin Steffen hat gesagt, wir seien keine demokratische Partei. Wir werden im Ältestenrat rügen, dass hierzu von Frau Roth als Präsidentin kein Ordnungsruf erfolgt ist. Das lassen wir so nicht stehen.\n\n({3})\n\nZum Kollegen Kindler. Er hat über diejenigen, die unserem Abgeordnetenkollegen Gottschalk die Hand gebrochen haben, gesagt, das seien bunte Kreative gewesen. Da kann ich nur sagen: Ihre bunte Kreativität ist tatsächlich unerträglich.\n\n({4})\n\nDas sind Gewalttäter gewesen, die uns schwer geschädigt haben.\n\n({5})\n\nAber wir haben ein anderes Problem. Die systematische Verharmlosung dieser Gewalt durch die Medien ist das eine. Das andere ist, dass diese Gewalt nicht nur stillschweigend geduldet wird, sondern auch ausdrücklich unterstützt wird, und zwar von Mitgliedern dieses Hauses und auch von Mitgliedern der Bundesregierung.\n\n({6})\n\nDas sogenannte Bündnis „Aufstehen gegen Rassismus!“ wird in Teilen vom Verfassungsschutz beobachtet. Die Bekämpfung der AfD ist das ausdrückliche Ziel dieses Bündnisses „Aufstehen gegen Rassismus!“.\n\n({7})\n\nDie Bekämpfung der AfD ist das Ziel dieses Bündnisses, und sie sagen auch, wie sie uns bekämpfen wollen.\n\n({8})\n\nSie wollen uns von den Bühnen und Mikrofonen fernhalten und unsere Wahlkampfstände unschädlich machen; genau so wird es gesagt. Der eigentliche Skandal ist, dass diesen Aufruf zur Gewalt namentlich unterschrieben haben:\n\n({9})\n\nFamilienministerin Barley, die Kollegen Högl, Göring-Eckardt und Kipping,\n\n({10})\n\nHofreiter, Özdemir, Bartsch, Pau, Buchholz, Gehring, Grötsch und Krellmann.\n\n({11})\n\nDen Aufruf des Bündnisses „Aufstehen gegen Rassismus!“, das diese Beutel verteilt,\n\n({12})\n\nin denen alles drin sei, um die Wahlkampfstände der AfD unschädlich zu machen, haben Sie unterschrieben, Frau Högl und Frau Barley – unsere Familienministerin – von der SPD. Sie stehen hinter diesem Aufruf. Ich habe es noch gestern Abend um 23 Uhr auf der Facebook-Seite geprüft;\n\n({13})\n\nIhre Unterschrift ist dort verzeichnet, Frau Högl. Schauen Sie nicht so! Sie haben das unterschrieben.\n\n({14})\n\nDas Interessante ist, dass Frau Högl so tut – Frau Högl, hallo, sehen Sie mich? –,\n\n({15})\n\nals wüsste sie nicht, dass sie das unterschrieben hat. Und dieses Bündnis kämpft ausdrücklich gegen uns!\n\nNein, meine Damen und Herren, wer so eine Bewegung unterstützt und das unterzeichnet, der kämpft gegen die Demokratie. Der ist ein Problem für die Demokratie, und nicht eine demokratische Partei, wie wir sie sind.\n\n({16})\n\nDieses Bündnis mit Unterstützung von 14 Abgeordneten dieses Hauses arbeitet zusammen mit der Interventionistischen Linken. Sie wird vom Verfassungsschutz beobachtet und als linksextrem eingestuft. Die Interventionistische Linke steht Schulter an Schulter – auch sie hat diesen Aufruf unterschrieben – mit diesem Bündnis.\n\n(Beifall bei Abgeordneten der LINKEN\n\nDas ist ein Skandal.\n\n({17})\n\n– Ja, das ist ein Ding, Herr Schulz; das ist ein Ding. Wer also solche Bündnisse unterstützt,\n\n({18})\n\nwer das ausdrücklich tut, der duldet die Gewalt im Namen dieser Gruppen, mit der sie uns bearbeiten.\n\n({19})\n\nDas ist ein Skandal. Davon müssen Sie sich distanzieren.\n\n({20})"
"1000907","Beatrix","Storch","AfD","Member of Parliament","2017-12-13T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19005.pdf","\n\nIch fordere alle Erstunterzeichner dieses Bündnisses auf – ich habe alle Namen genannt –, ihre Unterschrift von dieser Liste zu entfernen; denn sonst müssen wir daraus schließen, dass sie die Bekämpfer der Demokratie sind und nicht wir.\n\n({0})\n\nDas zum Schluss, weil es eine öffentliche Debatte ist: Meine Damen und Herren, hier sitzen nicht nur Antidemokraten. Es gibt hier eine Partei, die für die Demokratie kämpft, und das ist die AfD.\n\nVielen Dank.\n\n({1})"
"1001197","Beatrix","Storch","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\nHerr Präsident! Meine sehr geehrten Damen und Herren! Antisemitismus in jeder Form ist eine Schande, und Antisemitismus ist ein Angriff auf unsere jüdischen Bürger. Es ist ein Angriff auf die Grundlagen unserer westlichen Zivilisation. Diese Zivilisation steht auf einem jüdisch-christlichen Fundament. Der vorliegende Antrag betont richtigerweise, dass Antisemitismus in allen politischen Lagern zu finden ist.\n\nWir in Deutschland haben aufgrund unserer Geschichte eine ganz besondere Verantwortung, und zu dieser bekennen wir uns ausdrücklich.\n\n({0})\n\nZu unserer besonderen Verantwortung gehört es aber auch, vor der neuen Qualität antisemitischer Angriffe in Westeuropa nicht die Augen zu verschließen. Hilfreich ist dabei der zweite Bericht des Unabhängigen Expertenkreises Antisemitismus. Im Auftrag des Bundestages hat dieser Kreis antisemitisch motivierte Straftaten untersucht und dazu Juden in Deutschland befragt. Ich zitiere:\n\nGefragt „Was war das für eine Person oder Gruppe, von der die … Tat ausging?“, wird die Kategorie „eine muslimische Person/Gruppe“ … weitaus am häufigsten genannt, gefolgt von „mir unbekannte Person“, erst dann folgen in gleicher Quantität linksextreme und rechtsextreme Personen/Gruppen.\n\nDass polizeiliche Statistiken dies nicht abbilden, mag ein Beispiel aus Berlin vom 25. Juli 2014 erklären: Nationalsozialistische Parolen der schiitischen Hisbollah gegen Träger von Israel-Fahnen am Rande des Al-Quds-Marsches wurden in der „PMK-rechts“, also als rechtsextrem, erfasst. Meine Damen und Herren, machen wir uns ehrlich: Statistiken, die Straftaten islamistischer Terrormilizen als rechte Kriminalität erfassen, sind unbrauchbar.\n\n({1})\n\nSie verschleiern, aber irgendwann holt die Realität einen ein.\n\nIn Frankreich zum Beispiel ist die Realität schon eine andere: Seit dem Jahr 2006 sind insgesamt 40 000 Juden aus Frankreich allein nach Israel ausgewandert. Sie sind geflohen vor Terror und den tagtäglichen Übergriffen und Bedrohungen. Es sind Flüchtlinge, über die niemand spricht, weil sie vor Muslimen flüchten. Das ist die Gegenwart in Frankreich. Meine sehr geehrten Damen und Herren, die AfD wird mit ganzer Kraft dafür kämpfen, dass das nicht die Zukunft in Deutschland sein wird.\n\n({2})\n\nEs sind natürlich nicht alle Muslime, von denen dieser Terror gegen Juden und Andersgläubige ausgeht, aber es sind bei weitem zu viele. Wenn in Deutschland Israel-Fahnen verbrannt oder jüdische Schüler von ihren Mitschülern gemobbt werden, wenn jüdische Bürger sich davor fürchten müssen, öffentlich die Kippa zu tragen, oder Einrichtungen von der Polizei überwacht werden müssen, dann ist das nicht hinnehmbar.\n\nAber es geht ja auch anders. Ich war im letzten Mai in Ungarn, wo ich ein jüdisches Zentrum besucht habe. Das musste nicht von der Polizei geschützt werden. Die Türen standen offen, die Kinder spielten auf der Straße, die Jungs trugen Kippa. Viktor Orban will, dass das so bleibt. Das erklärt auch seine Haltung in der Flüchtlingsfrage. Er hat eine Nulltoleranzpolitik gegen Antisemitismus angekündigt. Deswegen erhält Ungarn auch die Unterstützung von Israel.\n\n({3})\n\nDer Politikwissenschaftler Bassam Tibi war unter anderem am Center for Advanced Holocaust Studies in Washington tätig. Er nannte in einem Beitrag für den „Cicero“ den heutigen islamischen Judenhass „die stärkste Spielart des totalitären Antisemitismus im 21. Jahrhundert“. Davon findet sich in dem vorliegenden Antrag leider nichts. Der Islam ist der Elefant im Raum. Wir sehen ihn aber. Sie nennen es Zuwanderung oder reden, wie heute Herr Kauder und auch Frau Griese, von Menschen aus anderen Kulturkreisen wie Nordafrika und dem Nahen Osten. Aber wir sehen, wie gesagt, den Elefanten im Raum.\n\nIn dem vorliegenden Antrag gibt es eine ganze Reihe von Punkten, die diese Mängel aufwiegen. Insbesondere die Verschärfung des Aufenthaltsrechts ist ein wichtiger Punkt. Es ist höchste Zeit, dass Hasspredigten gegen Juden, aber auch gegen Christen und sogenannte Ungläubige einen besonders schwerwiegenden Ausweisungsgrund darstellen. Das ist gut, und das ist richtig.\n\n({4})\n\nDer AfD geht es darum, dass dann aber auch konsequent abgeschoben wird, und zwar nicht nur Asylbewerber, sondern zum Beispiel auch Imame, die hier schon länger Hass predigen. Außerdem begrüßen wir sehr, dass bei antisemitischen Straftaten die Tätermotivation in Zukunft erfasst werden soll. Die Hisbollah gehört nicht in die PMK-rechts.\n\n({5})\n\nAm wichtigsten ist jedoch: Jüdisches Leben und jüdische Tradition gehören zu Deutschland, sie haben immer zu Deutschland gehört. Sie sind ein wichtiger Teil unseres kulturellen Erbes. Das müssen wir vor Angriffen schützen. Und dazu gibt es keine zwei Meinungen.\n\nVielen Dank.\n\n({6})"
"1001425","Beatrix","Storch","AfD","Member of Parliament","2018-01-18T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19007.pdf","\n\nSehr geehrte Frau Präsidentin! Sehr geehrte Damen und Herren! Der Anschlag von Anis Amri am Breitscheidplatz war eine nationale Tragödie. Wir haben es schon mehrfach gehört: 12 Tote, 67 zum Teil schwer Verletzte, das sind die kalten Zahlen. Der islamistische Terrorist hat sich gezielt ein christliches Fest ausgesucht, um unschuldige Menschen zu ermorden, und es hat sich gezeigt: Ein Teil der islamischen Welt hat uns den Krieg erklärt. Wir schätzen, dass sich weitere 700 Gefährder der Kategorie Amri in Deutschland aufhalten – 700 tickende Zeitbomben mitten unter uns.\n\n({0})\n\nAber der Anschlag ist nicht nur eine Tragödie, sondern auch ein politischer Skandal. Er steht für einen Offenbarungseid in der Flüchtlings- und Asylpolitik, der eine wirklich große Frage aufwirft: Was muss man eigentlich tun, um aus Deutschland abgeschoben zu werden? Es genügt nicht, illegal einzureisen oder sich 14 falsche Identitäten zuzulegen. Es genügt nicht, in Drogenhandel verwickelt zu sein oder andere Delikte – auch gewaltsam – zu begehen. Das reicht alles nicht. Und es reicht auch nicht, in islamistischen Kreisen zu verkehren und mehr oder weniger offen Anschläge anzukündigen. All das reicht nicht. Das komplette Versagen der deutschen Asyl- und Flüchtlingspolitik ist so offensichtlich und das Ausmaß des Skandals ist so groß, dass die Einsetzung eines Untersuchungsausschusses keiner besonderen Begründung bedarf. Auch die Erkenntnisse der Untersuchungsausschüsse in Berlin und Nordrhein-Westfalen haben das schon gezeigt.\n\nWir haben bereits im Vorfeld unsere Bereitschaft zu einem gemeinsamen Antrag erklärt. Dieser ist nicht an uns gescheitert. Wir sehen in den vorliegenden Anträgen eine breite gemeinsame Basis und eine Übereinstimmung in den meisten Punkten. Der AfD sind vier Punkte wichtig, bei denen wir noch Änderungen einbringen wollen.\n\nErstens. Die Zahl der Ausschussmitglieder möchten wir gerne auf 18 erhöhen, sodass kleine Fraktionen wie die drittgrößte Fraktion auch mehr als einen Abgeordneten stellen können. Wir denken, dass die Arbeit dann besser geleistet werden kann.\n\n({1})\n\nZweitens. Wir wollen den Beginn des Untersuchungszeitraums auf die Einreise Amris in den Schengen-Raum legen; denn der Anschlag am Breitscheidplatz ist nicht isoliert zu betrachten. Er steht im Zusammenhang mit der Krise des europäischen Asylsystems, an der die Bundesregierung mit ihrer Politik wesentlich beteiligt ist. Die Aufarbeitung der Vorgeschichte ist deswegen besonders wichtig und dringend erforderlich.\n\n({2})\n\nDrittens. Wir wollen das Ende des Untersuchungszeitraumes auf den Zeitpunkt der Einsetzung des Untersuchungsausschusses festsetzen und die Untersuchung nicht schon mit dem Tod Amris enden lassen. Es gibt keinen Grund, die Arbeit des Untersuchungsausschusses einzuschränken. Die Netzwerke, in denen Amri tätig war, sind weiter aktiv, und die Fehler der Behörden haben sich über den Tod von Amri hinaus fortgesetzt. Auch das gehört aufgeklärt.\n\n({3})\n\nDer Fokus sollte nicht auf den Fehlern untergeordneter Stellen oder Fehlurteilen einzelner Beamter liegen, worauf sich insbesondere der Sonderermittler in Berlin so sehr fokussiert hat. In Anbetracht der Überforderung von Polizei und Sicherheitsdiensten in dem Asylchaos von 2015 bis 2017 ist es ja fast nicht überraschend, dass es dazu kam.\n\nViertens. Der Untersuchungsausschuss muss die entscheidende Frage stellen: Wer trägt die politische Gesamtverantwortung für das Desaster?\n\n({4})\n\nWir begrüßen sehr die Bereitschaft aller Parteien, den Untersuchungsausschuss einzusetzen. Wir sehen das als einen notwendigen Teil der Gesamtaufklärung an, der vollständigen Aufarbeitung eines der größten Skandale der bundesrepublikanischen Geschichte. Der Anschlag war das Ergebnis eines breiten Versagens des gesamten politischen Systems, insbesondere aber auch oberer Entscheidungsträger, und nicht nur der nachgeordneten Beamten.\n\n({5})\n\nEntscheidend wird sein – darauf kommt es dann an –, welche Konsequenzen wir aus der Aufklärung ziehen. Schon jetzt können wir sagen: Wir werden die Probleme nicht lösen, indem wir die Mittel für Integrationskurse aufstocken, die Familien nachholen, die Weihnachtsmärkte zupollern oder 20 000 Polizisten für 700 Gefährder 24 Stunden am Tag, sieben Tage die Woche abstellen, bis es zu spät ist. Wir müssen klären, warum Amri nicht abgeschoben worden ist, und dann müssen wir diesen Fehler im System abstellen.\n\n({6})\n\nJeder, der auch nur halb so gefährlich ist wie Amri, muss auf dem schnellsten Wege raus aus diesem Land. Das Leben der Bürger dieses Landes steht weit über dem Aufenthaltsrecht von Terroristen.\n\nVielen Dank.\n\n({7})"
"1001511","Beatrix","Storch","AfD","Member of Parliament","2018-01-19T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19008.pdf","\n\nNur eine ganz kurze Frage: Sind Sie der Ansicht, dass bei Minderjährigen, bei denen wir Zweifel haben, dass sie minderjährig sind, diese Minderjährigkeit überprüft werden sollte oder nicht?\n\n({0})"
"1003193","Beatrix","Storch","AfD","Member of Parliament","2018-03-01T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19017.pdf","\n\nHerr Präsident! Sehr geehrte Kollegen! Die AfD-Fraktion hat von Anfang an gesagt, dass sie einen gemeinsamen Antrag unterstützt. Es ist Konsens aller Fraktionen, dass der Terroranschlag vom Breitscheidplatz aufgearbeitet werden muss. Alle Fraktionen haben sich an den Vorgesprächen beteiligt und zusammengewirkt, auch wir.\n\n({0})\n\nDas sind wir den Opfern und allen Menschen in diesem Land schuldig.\n\nEs ist wichtig, im Untersuchungsausschuss hier im Hause die Fokussierung über das hinaus zu erweitern, was in den Ländern schon gelaufen ist. Auch die Fehler im Getriebe sind natürlich aufzuklären. Aber der Blick für das Wesentliche darf nicht verloren gehen.\n\nWenn die Polizei überarbeitet, überfordert und mit ihren Kapazitäten und Kräften am Ende ist, dann ist doch klar, dass Fehler passieren. Die Ursache dafür müssen wir klären. Unser Fokus darf sich nicht nur auf den kleinen Beamten am unteren Ende der Hierarchie richten. Der Fokus muss auch die politische Gesamtverantwortung in den Blick nehmen.\n\n({1})\n\nDarum hatten wir den Änderungsantrag eingebracht, die politische Gesamtverantwortung und den Einfluss der Asyl-, Ausländer- und Flüchtlingspolitik zu beleuchten. Wenn wir dann feststellen, dass diese Politik nicht ursächlich war: Bitte, dann hätten wir das auch geklärt. Aber die Aufklärung gar nicht erst zu wollen, ist falsch.\n\n({2})\n\nIm Zusammenhang mit dem Terrorismus sprach der israelische Militärhistoriker van Creveld von neuen Kriegen. Die großen, konventionellen Kriege zwischen Staaten werden von der Bedrohung durch terroristische Gruppen abgelöst. Der islamische Terror ist eine solche Form eines neuen Krieges gegen die westliche Zivilisation.\n\nDer Terroranschlag vom Breitscheidplatz ist in diesem Kontext zu sehen. Aber er war nicht der erste. Ansbach, Würzburg, Hamburg, Essen gingen voran. In all diesen Fällen waren Asylbewerber und muslimische Migranten die Täter. Diese Mörder sind keine fehlgeleiteten, diskriminierten Opfer widriger Umstände. Legen wir bitte die Scheuklappen ab!\n\n({3})\n\nSie sind das Gesicht einer wachsenden Bedrohung, die unter Berufung auf den Islam und den Koran unsere Freiheit, unsere Kultur, unsere Lebensart und am Ende unsere Zivilisation zerstören wollen. Dagegen müssen wir etwas unternehmen.\n\n({4})\n\nDie Aufarbeitung des Anschlags hat auch das Ziel, uns besser für diesen Konflikt mit dem gewaltbereiten Islam zu wappnen. Sie gibt uns die Möglichkeit, Schlussfolgerungen im Hinblick auf die Reform unserer Sicherheitsarchitektur sowie die Ausstattung und Organisation der Polizei und der Sicherheitsdienste zu ziehen. Sie müssen den Erfordernissen dieser neuen Zeit angepasst werden. Dazu gehört natürlich auch die Reform des Aufenthalts-, Asyl- und Einwanderungsrechts.\n\n({5})\n\nEs nimmt das Ergebnis der Arbeit des Untersuchungsausschusses nicht vorweg, wenn wir feststellen: Bei gesicherten Grenzen und konsequenter Anwendung der Drittstaatenregelung hätte es den Anschlag auf dem Breitscheidplatz nicht gegeben. Diese Tatsache ist schmerzhaft, aber nicht zu leugnen.\n\n({6})\n\nWir müssen auch Schlussfolgerungen bezüglich des Umgangs mit Hinterbliebenen und Opfern ziehen. Im deutschen Rechtssystem und in der politischen und öffentlichen Behandlung wird zum Teil enormer Aufwand getrieben, die Abschiebung illegaler oder zum Teil auch krimineller Einwanderer und potenzieller Terroristen zu verhindern; aber deren Opfer lassen wir allein. Das ist ein Skandal!\n\n({7})\n\nDer Untersuchungsausschuss muss seinen Teil zur Beantwortung der Frage beitragen, wie wir die Sicherheit unserer Nation im 21. Jahrhundert gewährleisten können. Ja, nationale Sicherheit ist ein zentrales politisches Thema. Andere Nationen dieser Welt, wie die USA oder Israel, haben das verstanden. Es ist Zeit, dass auch wir in Deutschland das endlich verstehen.\n\n({8})\n\nWir leben in einer gefährlichen Zeit. Nicht alle Menschen auf der Welt sind gut, und nicht alle Menschen auf der Welt wollen uns Gutes. Deswegen schließen wir ja auch unsere Haustüren ab. Offene Haustüren sind ebenso wenig wie offene Grenzen ein humanitärer Imperativ, sondern mit Blick auf die Grenzen gelebte politische Verantwortungslosigkeit.\n\n({9})\n\nAus unserer Sicht hat die Aufarbeitung des islamischen Terroranschlags vom Breitscheidplatz ein großes übergeordnetes Ziel: die Rückkehr zum politischen Realismus.\n\nVielen Dank.\n\n({10})"
"1003416","Beatrix","Storch","AfD","Member of Parliament","2018-03-01T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19017.pdf","\n\nIch habe eine ganz kurze Frage oder Anmerkung: Hat all das, was Sie beschrieben haben, Frau Jelpke – Verfolgung von Homosexuellen, Unterdrückung von Frauen usw. –, Ihrer Meinung nach irgendetwas mit dem Islam zu tun?"
"1005001","Beatrix","Storch","AfD","Member of Parliament","2018-03-23T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19024.pdf","\n\nEs gibt so etwas wie ein Fragerecht, Herr von Notz. Das dürfen auch wir wahrnehmen.\n\n({0})\n\nIch habe zwei ganz kurze Fragen.\n\nSie haben gerade gesagt, dass die Erhöhung der Ausgaben für die Bereiche Migration, Integration usw. ein Ausweis der Bedeutung dieser Bereiche für die Regierung ist. Kann man nicht vielmehr sagen, dass es das Ergebnis des Versagens ist, dass jetzt das Erfordernis groß ist, hier zu investieren? Ich ziehe in Zweifel, dass Investitionen im Bereich Migration echte Investitionen sind.\n\nDie zweite Frage, ganz präzise: Halten Sie es wie Herr Seehofer, dass der Islam zu Deutschland gehört, oder nicht?\n\n({1})"
"1005056","Beatrix","Storch","AfD","Member of Parliament","2018-03-23T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19024.pdf","\n\nVielen Dank. – Ich habe nur eine sehr kurze Frage. Sie haben gerade gesagt, wir sollten nicht annehmen, dass die Bauern Hinterwäldler seien, sie würden selbstverständlich Englisch sprechen. Sind Sie der Meinung, dass Menschen, die kein Englisch sprechen, Hinterwäldler sind?\n\n({0})"
