id,firstname,lastname,faction,position,date, url,speech
"1000030","Claudia","Roth","Grüne","Member of Parliament","2017-10-24T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19001.pdf","\n\nJa, ich nehme die Wahl mit großer Freude an und freue mich auch auf die Zusammenarbeit.\n\n({0})"
"1000522","Claudia","Roth","not found","Presidium of Parliament","2017-12-12T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19004.pdf","\n\nRedezeit."
"1000226","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nVielen Dank, Karl Lauterbach. – Das Wort zu seiner ersten Rede im Bundestag hat Dr. Axel Gehrke für die AfD.\n\n({0})"
"1000228","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nDarf ich Sie an die Redezeit erinnern?"
"1000230","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nBitte."
"1000214","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nWürden Sie bitte an die Redezeit denken? Auch die Kurzinterventionen sind limitiert."
"1000216","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nDr. Brandl, CDU/CSU, jetzt mit der Antwort.\n\n({0})\n\nWürden Sie bitte stehen bleiben? Das ist eigentlich Regel hier im Haus. – Danke schön."
"1000218","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nVielen Dank, Dr. Reinhard Brandl. – Schönen guten Abend Ihnen, liebe Kolleginnen und Kollegen, von meiner Seite!\n\n({0})\n\nDie Aussprache hat stattgefunden. Das entnehme ich nicht nur dem Protokoll, sondern das habe ich auch mitbekommen.\n\nIch schließe jetzt diese lebendige Aussprache.\n\nInterfraktionell wird Überweisung der Vorlage auf Drucksache 19/27 an den Hauptausschuss vorgeschlagen. Sind Sie damit einverstanden? – Das ist der Fall. Dann ist die Überweisung so beschlossen."
"1000220","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nAber Redezeiten!\n\n({0})"
"1000222","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nVielen Dank, Harald Weinberg. – Wir sind ziemlich in Verzug. Deswegen, liebe Kolleginnen und Kollegen: Wenn da vorne ein Licht leuchtet, dann ist das nicht eine nette Nachricht von mir, sondern die definitive Aufforderung, Ihre Redezeit einzuhalten.\n\nJetzt gebe ich Lothar Riebsamen für die CDU/CSU-Fraktion das Wort.\n\n({0})"
"1000224","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nVielen Dank, Lothar Riebsamen. – Der nächste Redner in der Debatte: Dr. Karl Lauterbach für die SPD-Fraktion.\n\n({0})"
"1000232","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nDanke schön. – Nächste Rednerin: Christine Aschenberg-Dugnus für die FDP-Fraktion.\n\n({0})"
"1000234","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nVielen Dank, Frau Kollegin Aschenberg-Dugnus. – Nächste Rednerin: Maria Klein-Schmeink für Bündnis 90/Die Grünen."
"1000236","Claudia","Roth","not found","Presidium of Parliament","2017-11-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19002.pdf","\n\nDas machen wir aber dann in der nächsten Debatte."
