id,firstname,lastname,faction,position,date, url,speech
"1003736","Heiko","Maas","not found","Minister","2018-03-14T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19019.pdf","\n\nIch schwöre es, so wahr mir Gott helfe."
"1003762","Heiko","Maas","not found","Minister","2018-03-15T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19020.pdf","\n\nSehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Wir diskutieren heute und morgen in diesem Haus die Bundestagsmandate für fünf Auslandseinsätze der Bundeswehr. Unsere Soldatinnen und Soldaten, die – das wissen Sie alle – oft unter schwierigen und gefährlichen Bedingungen im Einsatz sind, erwarten vor allen Dingen von uns – und das zu Recht – Handlungssicherheit und einen klaren Auftrag. Das gilt nicht nur für die konkrete Ausgestaltung der einzelnen Einsätze, sondern das gilt erst recht auch für das außenpolitische Gesamtkonzept, ohne das diese Einsätze nicht zum Ziel führen können. Unser Engagement für Frieden und Stabilität, und zwar weltweit, müssen wir auch durch einen Beitrag im Kampf gegen den internationalen Terrorismus unterlegen.\n\nDie internationale Anti-IS-Koalition hat in der Vergangenheit bereits wichtige Erfolge erzielt. Die IS-Terrorherrschaft über 3,2 Millionen Syrer und 4,5 Millionen Iraker wurde im letzten Jahr gebrochen. Rakka wurde befreit. 3,5 Millionen irakische Binnenflüchtlinge konnten in ihre Städte und Dörfer zurückkehren. Der IS übt im Irak keine Herrschaft mehr aus. Die Anzahl der Kämpfer ist wesentlich gesunken, und die Finanzquellen konnten größtenteils ausgetrocknet werden. Dennoch sollten wir uns nichts vormachen: Besiegt ist der IS noch lange nicht. In Syrien ist er weiterhin – vor allen Dingen im Osten des Landes – präsent, wo deshalb auch der militärische Fokus aller Mitglieder der Anti-IS-Koalition liegen muss.\n\nAber auch im Irak gibt es immer noch zahlreiche IS-Kämpfer. Das bedeutet, unsere Erfolge sind fragil. Wenn wir sie sichern wollen, dann müssen wir unser Engagement fortsetzen. Darum geht es heute.\n\n({0})\n\nMeine Damen und Herren, wir müssen und werden gleichwohl unser Engagement im Kampf gegen den IS anpassen. Die Bundesregierung beabsichtigt, die Personalobergrenze des Ihnen vorliegenden Mandats deutlich abzusenken: von 1 200 auf 800 Soldatinnen und Soldaten. Der seegehende Schutz für den französischen Flugzeugträger wird nicht mehr nötig sein. Hingegen wollen wir die Aufklärungsflüge, die Luftbetankung und die AWACS-Flüge der NATO fortsetzen, um die erzielten Fortschritte abzusichern und ein Wiedererstarken des IS dauerhaft zu verhindern. Ein vorzeitiges Ende unseres militärischen Beitrages – ja, es ist ein militärischer Beitrag – zur Anti-IS-Koalition, ein Nachlassen im Kampf gegen den IS wäre gerade jetzt das völlig falsche Signal. Deshalb bitte ich um Ihre Zustimmung zu diesem Mandat.\n\n({1})\n\nMit der Reduzierung des militärischen Engagements im Kampf gegen den IS rücken jetzt die langfristige Perspektive und vor allen Dingen die Ursachenbekämpfung, von der so oft die Rede ist, in den Vordergrund. Wie kann dem IS-Terror auf Dauer der Nährboden entzogen werden?\n\nNach den Jahrzehnten des Gegeneinanders kommt es jetzt vor allem darauf an, dass alle Bevölkerungsgruppen im Irak ihren Platz haben und in den Genuss von wirtschaftlicher und politischer Teilhabe kommen. Bagdad und Erbil haben den Gesprächsfaden auf höchster politischer Ebene wieder aufgenommen, was gut ist. Dass sich alle Beteiligten zu einem Dialog auf Grundlage der irakischen Verfassung bekennen, ist ein großer Schritt in die richtige Richtung, der in der Vergangenheit lange nicht möglich gewesen ist.\n\nWir zeigen genauso Verantwortung mit unserem zivilen Engagement. Das müssen wir umso stärker machen, je erfolgreicher der militärische Kampf gegen den IS verläuft. Die Bundesregierung hat seit 2014 zivile Hilfe in Höhe von über 1 Milliarde Euro für den Irak geleistet. Bei der internationalen Wiederaufbaukonferenz vergangenen Monat in Kuwait hat Deutschland weitere 350 Millionen Euro zugesagt.\n\nMeine Damen und Herren, lassen Sie mich am Ende noch einige Worte zu Syrien sagen. Es besteht kein Zweifel: Wir erleben zurzeit die schlimmsten Kämpfe seit Beginn des siebenjährigen Konfliktes. Die jüngste Offensive auf Ost-Ghuta offenbart einmal mehr die ganze Brutalität des syrischen Regimes. Täglich sterben Menschen. Hilfstransporte, auf die lange gewartet wird und die bitternötig sind, kommen nicht an; sie werden nicht durchgelassen.\n\nWir fordern daher das syrische Regime und seine Verbündeten auf, Beschlüsse der Weltgemeinschaft endlich umzusetzen und dafür zu sorgen, dass die Waffen schweigen und die dringend benötigte humanitäre Versorgung endlich geleistet werden kann.\n\n({2})\n\nFür eine friedliche Zukunft in Syrien bleibt entscheidend, dass die dem Konflikt zugrunde liegenden Ursachen angegangen werden. Das bedeutet, dass im Genfer Prozess endlich Fortschritte gelingen müssen. Und es muss klar gesagt werden: Bei all diesen Fragen steht vor allen Dingen Russland in der Verantwortung.\n\nMeine Damen und Herren, Stabilität und Entwicklung sind ohne Sicherheit nicht möglich, und zwar nirgendwo. Deshalb ist unser militärischer Beitrag als Teil unseres umfassenden Ansatzes im Kampf gegen den IS und zur Stabilisierung des Iraks weiterhin notwendig. Deshalb bitte ich Sie um die Zustimmung zu diesem Mandat.\n\nHerzlichen Dank.\n\n({3})"
"1003782","Heiko","Maas","not found","Minister","2018-03-15T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19020.pdf","\n\nHerr Präsident! Liebe Kolleginnen und Kollegen! Nach 17 Jahren Afghanistan-Engagement wird in unserem Land und auch hier vielfach gefragt: Was hat das gebracht? Es gibt viele Fragen, die sich in dieser Diskussion stellen, und wir haben Anlass genug, auch sehr selbstkritisch auf diese Zeit zurückzublicken.\n\nAber in der Diskussion gerät oft aus dem Blick, welche Fortschritte es in Afghanistan seit 2001 gegeben hat. Es gerät aus dem Blick, dass in den Jahren der grausamen Taliban-Herrschaft international agierenden Terroristen ein sicherer Hafen geboten wurde und die Menschenrechte mit Füßen getreten wurden. Und es gerät aus dem Blick, dass die Stabilisierung eines Staates nach Jahren eines intensiven, gewaltsamen Konfliktes nicht weniger als eine Generationenaufgabe ist, die vor allen Dingen eines, nämlich strategische Geduld, erfordert.\n\nLeicht gerät auch in Vergessenheit, dass sich Umfang und Charakter unseres militärischen Engagements über die Jahre fundamental gewandelt haben."
"1003784","Heiko","Maas","not found","Minister","2018-03-15T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19020.pdf","\n\nNein, ich würde das gerne im Zusammenhang zu Ende ausführen.\n\n({0})"
"1003786","Heiko","Maas","not found","Minister","2018-03-15T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19020.pdf","\n\nGenau. – Meine sehr verehrten Damen und Herren, 130 000 Soldatinnen und Soldaten haben sich in Afghanistan befunden. Inzwischen – und auch das wird nicht häufig genug gewürdigt – hat die afghanische Regierung die Sicherheitsverantwortung selbst übernommen. Diese schwere Aufgabe wird – wenn auch unter enormen Opfern – mittlerweile bewältigt.\n\nOb wir uns in Afghanistan weiter engagieren sollten, ist aber nicht nur eine Frage der Vergangenheit, sondern es ist vor allen Dingen eine Frage mit Blick auf die jetzige Situation im Land und natürlich auch auf die Aussichten in der Zukunft. Um diese Fragen zu beantworten, hat die Bundesregierung im Perspektivbericht Afghanistan die Lage vor Ort und unser Engagement in seiner ganzen Bandbreite – zivil wie auch militärisch – einer mehr als kritischen Reflexion unterzogen. Der Bericht zeichnet ein ungeschöntes Bild von Afghanistan und den Herausforderungen, vor denen die Regierung, die Menschen in Afghanistan, aber auch die internationale Gemeinschaft jetzt und in der Zukunft stehen.\n\nDer Bericht geht nüchtern und eben auch vor allen Dingen selbstkritisch auf Versäumnisse und Unzulänglichkeiten ein, die niemand ernsthaft in Abrede stellen kann. Dazu gehört – das muss man im Rückblick so benennen – auch die starre Fristsetzung für einen Abzug der internationalen Truppen. Das hat den Taliban die Zuversicht gegeben, uns aussitzen zu können.\n\nWer jetzt oder für einen festen Zeitpunkt in der Zukunft einen vollständigen Abzug unserer Truppen aus Afghanistan fordert, der muss sich dann aber auch bitte der Frage stellen, was die Konsequenzen wären. Denn auch Nichthandeln hat einen Preis. Wir sind davon überzeugt, dass der Rückzug uns teuer zu stehen kommen würde und es deshalb in unserem Interesse liegt – auch im Interesse dessen, was dort angefangen wurde –, Afghanistan weiter zu unterstützen und dies auch militärisch zu tun.\n\nMeine Damen und Herren, Afghanistan steht nämlich in den nächsten Jahren vor ganz entscheidenden Wegmarken.\n\n({0})\n\n2018 sollen die Afghanen ein neues Parlament und im Frühjahr 2019 einen neuen Präsidenten wählen. Diesen Schlüsselherausforderungen muss sich das Land auch stellen. Die Regierung muss der überwiegend jungen Bevölkerung – über 40 Prozent sind jünger als 15 Jahre – eine glaubhafte Perspektive bieten. Sie muss weiterhin den aufständischen Gruppen, die ihr insbesondere in Gebieten mit ländlichem Charakter die Kontrolle streitig machen, entgegentreten; denn solange die Sicherheitslage prekär ist, wird es keinen wirtschaftlichen Aufschwung geben. Die Verantwortlichen müssen auch den Kampf gegen die Korruption entschlossen fortführen. Hier gibt es erste Fortschritte etwa bei der Strafverfolgung in großen Korruptionsfällen, gerade in den Streitkräften und den Ministerien. Wir erwarten von der afghanischen Regierung, dass sie diesen Reformkurs entschlossen hält. Das ist eine klare Bedingung – das wurde immer so gesagt – für die Fortsetzung unserer Unterstützung.\n\nDas Wichtigste ist aber die Friedensperspektive, die es in Afghanistan gibt. Ende Februar hat Präsident Ghani den Taliban ein umfassendes Angebot für Friedensgespräche gemacht. Dieses Angebot wird von der internationalen Gemeinschaft unterstützt. Wir sind uns mit den USA und den anderen Alliierten in der NATO ebenso einig wie mit China und Russland, dass Frieden in Afghanistan nicht allein durch militärische Mittel erreicht werden kann. Frieden in Afghanistan wird am Ende nur durch einen politischen Versöhnungsprozess unter Afghanen möglich werden, der die in der afghanischen Verfassung verbrieften Rechte der Menschen, die dort leben – dazu gehört auch die Demokratie –, ebenso wie die individuellen Freiheitsrechte schützt. Die Regierung in Kabul hat ihre Hand hierzu ausgestreckt und muss sich im Weiteren ernsthaft um eine Lösung des Konflikts mit den Taliban bemühen. Nun ist es aber auch an denen, auf dieses Angebot ernsthaft einzugehen.\n\nDurch unsere Unterstützung des Versöhnungsprozesses sowie des weiteren Auf- und Ausbaus selbsttragender afghanischer Streitkräfte wollen wir das Generationenprojekt der Stabilisierung in Afghanistan vorantreiben. Ein Teil dieser Bemühungen ist die Unterstützung, die die Bundeswehr im Rahmen dieses Mandats leistet. Dafür bitte ich Sie um Ihre Zustimmung.\n\n({1})"
"1003790","Heiko","Maas","not found","Minister","2018-03-15T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19020.pdf","\n\nNein."
"1003794","Heiko","Maas","not found","Minister","2018-03-15T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19020.pdf","\n\nIch würde gerne darauf antworten. – Wie Sie wissen – diese Einschätzung gibt es seit einiger Zeit –, gibt es unterschiedliche Bewertungen für unterschiedliche Gebiete. Es ist uns im Moment tatsächlich nicht in vollem Umfang möglich, abschließend Bewertungen dazu durchzuführen, wie sich die Lage in Zukunft entwickeln wird. Auch das ist ein Grund, der uns zu dem Ergebnis gebracht hat, dieses Mandat fortzuführen und Sie darum zu bitten, dem zuzustimmen; denn an der Lage wird sich nichts verbessern, wenn wir uns jetzt zurückziehen. Dann wird sich nicht nur tatsächlich, sondern auch im Hinblick auf die Bewertungsfragen und die Möglichkeit, solche wichtigen Informationen zusammenzutragen, nichts verbessern.\n\n({0})"
"1004312","Heiko","Maas","not found","Minister","2018-03-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19022.pdf","\n\nDie Bundesregierung wird dies tun, weil wir das nach wie vor für richtig und für notwendig halten. Aufgrund der Entwicklungen, die in dem Jahresabrüstungsbericht deutlich werden – wir befinden uns ja in Wahrheit eher in einer Phase der globalen Aufrüstung –, sind wir der Auffassung, dass wir unsere Initiativen auf unterschiedlichen Gebieten eher verstärken müssen. Wir müssen auch über neue Formate nachdenken, in denen wir etwa über die Initiative, die Sie angesprochen haben, noch einmal beraten können. Möglicherweise müssen wir auch neue Regeln und neue Regelwerke finden. Das ist eines der Themen, über die ich am Montag auf europäischer Ebene mit einigen Kolleginnen und Kollegen Außenminister gesprochen habe. Es gab da sehr viel Zustimmung. Deshalb bin ich sehr zuversichtlich, dass nicht nur wir als Bundesregierung, sondern wir gemeinsam mit anderen Mitgliedstaaten der Europäischen Union dieses Thema effektiv voranbringen können, was wir selbstverständlich auch wollen."
"1004297","Heiko","Maas","not found","Minister","2018-03-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19022.pdf","\n\nSehr geehrte Frau Präsidentin! Meine Damen und Herren Abgeordnete! Wir haben heute im Kabinett den Jahresabrüstungsbericht beraten und auch beschlossen, und ich würde Ihnen gerne die Haltung der Bundesregierung dazu erläutern.\n\nDas Sicherheitsumfeld hat sich in den letzten Jahrzehnten stark verändert. Insbesondere Russlands völkerrechtswidrige Annexion der Krim, der Konflikt im Osten der Ukraine, Nordkoreas gefährliches Streben nach Nu­klearwaffen sowie die Krise um den INF-Vertrag machen uns allen schmerzhaft bewusst, dass Themen der Abrüstung, der Nichtverbreitung und der Rüstungskontrolle heute wieder ganz oben auf der politischen Tagesordnung stehen und auch stehen bleiben werden.\n\nDas zeigt auch der Jahresabrüstungsbericht 2017, den wir heute Morgen beschlossen haben. Der Bericht trägt diesen Entwicklungen Rechnung, und er zeigt Handlungsfelder auf, in denen die Bundesregierung in dieser Zeit mit konkreten Maßnahmen und Projekten reagiert hat.\n\nDie Bundesregierung sieht die wachsende Attraktivität von Nuklearwaffen und die sich daraus ergebenden weltweiten Aufrüstungstendenzen sowie die Belastungen für die bestehende Abrüstungs- und Rüstungskontrollarchitektur nicht erst seit heute mit großer Sorge. Dafür will ich einige Beispiele nennen.\n\nIm nuklearen Bereich stehen wir vor allem in Europa vor der Gefahr einer erneuten Aufrüstungsspirale. Jüngst hat Präsident Putin neue Waffensysteme angekündigt, die Russlands Nuklearfähigkeiten weiter ausbauen sollen. Damit stellt Russland die nach Ende des Kalten Krieges geschaffene internationale Rüstungskontrollarchitektur zunehmend infrage, und sie wird damit, wie wir finden, auch unterlaufen.\n\nDeshalb werden wir Russland weiterhin dazu auffordern, die im Raum stehenden, ernstzunehmenden Vorwürfe einer Verletzung des INF-Vertrages auszuräumen; denn für Europas Sicherheit ist seine vollständige Einhaltung zentral. Dafür wird sich die Bundesregierung in der kommenden Zeit ganz besonders starkmachen.\n\nNordkoreas völkerrechtswidriges Nuklear- und Raketenprogramm mit einer Vielzahl von Tests in 2017 bedroht den Frieden und die Sicherheit nicht nur in der dortigen Region, sondern, wie wir finden, auch weltweit. Sie stellen die bislang größte Krise des nuklearen Nichtverbreitungsregimes dar. Dass gegenwärtig die beiden Koreas beginnen, miteinander zu sprechen, und es womöglich sogar zu direkten Gesprächen zwischen den USA und Nordkorea kommt, begrüßen wir deshalb außerordentlich. Doch zugleich ist klar: Die Gespräche können nur dann erfolgreich sein, wenn Nordkorea ernsthaft bereit ist, über den Rückbau seines völkerrechtswidrigen Raketen- und Nuklearprogramms zu verhandeln. Das sehen wir im Moment noch nicht.\n\nDass es möglich ist, Profilerationskrisen mit diplomatischen Mitteln zu lösen, hat zum Beispiel die Wiener Nuklearvereinbarung mit dem Iran gezeigt; deren Fortbestand ist allerdings aktuell gefährdet. Die USA stellen ihre fortgesetzte Teilnahme an der Vereinbarung offen infrage, auch wenn kein Zweifel besteht, dass der Iran sich an die Wiener Nuklearvereinbarung hält. Das ist ein Thema, mit dem wir uns ganz besonders beschäftigen. Wir setzen uns mit allem Nachdruck gemeinsam mit Frankreich, Großbritannien und unseren anderen EU-Partnern weiter für den Erhalt und die vollständige Umsetzung dieser Vereinbarung ein.\n\nBei all unseren Bemühungen behalten wir das Ziel einer nuklearwaffenfreien Welt im Blick, auch wenn in der gegenwärtigen Zeit der Weg dorthin von vielen Hindernissen gesäumt ist und eher länger als kürzer zu werden scheint. Der Nichtverbreitungsvertrag, dessen 50. Jubiläum wir in diesem Jahr feiern, bleibt dabei mit seinen drei Säulen der zentrale Eckpfeiler und Kompass unserer Bemühungen. Im Rahmen unseres schrittweisen Ansatzes engagieren wir uns intensiv für tatsächliche und nachprüfbare Fortschritte im Bereich der nuklearen Abrüstung. Besondere Anstrengungen unternehmen wir, um Verhandlungen über ein Verbot der Herstellung von Spaltmaterial für Waffenzwecke und Instrumente zur Verifikation von nuklearer Abrüstung vorzubereiten.\n\nMeine Damen und Herren Abgeordnete, wir haben, wie Sie sicherlich auch, mit Entsetzen den international verbotenen Einsatz eines Nervengiftes in Großbritannien zur Kenntnis genommen. Die Einschätzung der britischen Behörden über Russland als mutmaßlich Verantwortlichen teilen wir. Das haben wir zu Beginn der Woche beim Rat in Brüssel deutlich gemacht.\n\n({0})\n\nAuch den wiederholten und ungeahndeten Einsatz chemischer Waffen in Syrien halten wir nach wie vor für unerträglich. Die Bundesregierung wird sich weiterhin dafür einsetzen, dass Chemiewaffenangriffe aufgeklärt und die Verantwortlichen zur Rechenschaft gezogen werden. Das haben wir gerade Anfang der Woche mit unseren französischen Partnern intensiv erörtert. Letztlich stehen wir gemeinsam in der Pflicht, dem Chemiewaffenübereinkommen zu universeller Geltung zu verhelfen.\n\nIch danke Ihnen für Ihre Aufmerksamkeit."
"1004301","Heiko","Maas","not found","Minister","2018-03-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19022.pdf","\n\nVielen Dank, Herr Abgeordneter. – Sie sprechen einen wichtigen Punkt an, über den wir gerade sehr engagiert mit den Partnern, die Sie eben erwähnt haben, im Gespräch sind. Am 15. März hat in Berlin ein hochrangiges Treffen mit Vertretern Großbritanniens, Frankreichs, aber auch der Vereinigten Staaten stattgefunden, bei dem wir nach Wegen gesucht haben, aus dieser Situation herauszukommen.\n\nSie wissen, dass Herr Präsident Trump ein Ultimatum gestellt hat sowie Fragen, die beantwortet werden sollen. Spätestens nach diesem durchaus konstruktiven Treffen ist uns noch einmal klargeworden, dass ein gutes Stück Arbeit vor uns liegt, ohne Ihnen jetzt konkret und im Detail Ausführungen machen zu können, an welcher Stelle es noch einmal Veränderungen geben wird.\n\nWir sind grundsätzlich der Auffassung, dass diese Vereinbarung seit über zwei Jahren erfolgreich umgesetzt wird und sich die iranische Seite an das hält, was in der Vereinbarung steht. Wir sind derzeit zugegebenermaßen über die Rolle des Irans in der Region in anderen Zusammenhängen eher besorgt. Das steht aber nicht im unmittelbaren Zusammenhang mit der Vereinbarung. Wir haben am Montag im Rat in Brüssel auch darüber geredet, ob es notwendig sein wird, unabhängig von der Nuklearvereinbarung Maßnahmen gegenüber dem Iran zu ergreifen. Die können zum Beispiel darin bestehen, dass einzelne Gruppen, Einzelpersonen gelistet werden.\n\nDas ist ein Thema, mit dem wir uns – so haben wir es vereinbart – weiter beschäftigen wollen, weil wir dies auch innerhalb der Europäischen Union miteinander abstimmen wollen.\n\nDarüber hinausgehend kann ich –"
