id,firstname,lastname,faction,position,date, url,speech
"1001860","Linda","Teuteberg","FDP","Member of Parliament","2018-02-01T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19011.pdf","\n\nHerr Präsident! Meine sehr geehrten Damen und Herren! Vieles Notwendige und Richtige wurde hier gerade schon gesagt. Klar ist: Extremistische Organisationen und verfassungsfeindliche Aktivitäten dürfen nicht mit Steuergeld gefördert werden.\n\n({0})\n\nEntscheidend ist, dass dies auch um- und durchgesetzt wird. Gerade aus Respekt vor den Menschen, die sich redlich für unsere Demokratie engagieren, müssen wir garantieren, dass sich Extremisten keine Förderungen erschleichen können. Darauf werden wir Freien Demokraten sehr genau achten.\n\n({1})\n\nGinge es Ihnen von der AfD um die Sache, dann hätten Sie allerdings auch einen hinreichend bestimmten Antrag vorgelegt. Denn bei Ihnen bleibt offen, wer eigentlich die Erklärung unterschreiben soll.\n\n({2})\n\nDas müssen die Erstantragsteller sein, die schließlich später auch den Gesamtverwendungsnachweis erbringen und dafür geradestehen müssen. Das aufzuführen, gehört zu einem ordentlichen Antrag dazu.\n\n({3})\n\nJetzt könnte man versucht sein, zu denken: Viel Lärm um nichts. – Aber ganz so ist es nun auch nicht. Es ist doch verräterisch, wenn Vertreter der AfD Vertreter anderer Parteien regelmäßig mit dem Kampfwort „Systemparteien“ belegen.\n\n({4})\n\nDen Begriff hört man oft von Ihnen. Ob bewusst oder unbewusst – es ist Ihre Sprache, die Sie hier verrät. Es ist Ihre Sprache, die zeigt, wie Sie denken, und es ist Ihre Sprache, die zeigt, wo Sie stehen.\n\n({5})\n\nUnser System ist die freiheitlich-demokratische Grundordnung. Das ist zugegebenermaßen ein ausfüllungsbedürftiger Begriff. Es ist kein Zufall, dass das Bundesverfassungsgericht ihn in seinen frühen Urteilen in erster Linie zu Parteiverboten am rechten und linken Rand des Parteienspektrums entwickelt hat.\n\n({6})\n\nGrundlegende Prinzipien, die dazugehören, sind insbesondere die Achtung der im Grundgesetz konkretisierten Menschenrechte, die Gewaltenteilung, die Unabhängigkeit der Gerichte und das Mehrparteienprinzip.\n\n({7})\n\nDiese Ordnung setzt auf die Kraft der Argumente statt auf Gewalt, Einschüchterung oder Lautstärke. In diesem Sinne sind wir Freien Demokraten eine Systempartei, und das ist auch gut so.\n\n({8})\n\nDiese freiheitlich-demokratische Grundordnung ist übrigens schon begrifflich das Gegenteil sogenannter illiberaler Demokratien, mit denen Sie sonst so gerne sympathisieren.\n\n({9})\n\nDer Präsident dieses Hauses hat gestern in der Gedenkstunde sehr zu Recht gesagt: „Geschichte verläuft weder zufällig noch zwangsläufig.“ Deshalb ist es an uns allen, dafür zu sorgen, dass Extremismus wirksam bekämpft wird. Richtig ist – deshalb gibt es so viel Aufregung um dieses Thema –: Gegen andere Antidemokraten zu sein, macht einen selbst noch nicht zum Demokraten. Dazu gehört mehr.\n\n({10})\n\nEs ist an uns allen, diese unsere Ordnung, dieses System, unsere freiheitlich-demokratische Grundordnung, wirklich positiv zu besetzen – offensiv, nicht zögerlich, nicht schamhaft. Lassen Sie uns daran gemeinsam arbeiten und um Lösungen ringen!\n\nDanke schön.\n\n({11})"
"1003390","Linda","Teuteberg","FDP","Member of Parliament","2018-03-01T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19017.pdf","\n\nSehr geehrter Herr Präsident! Sehr geehrte Damen und Herren! Politisch Verfolgte genießen Asylrecht. Das ist ein verbürgtes Grundrecht unserer Verfassung. Seit den 1950er-Jahren hat die Bundesrepublik rund 5,5 Millionen Menschen aufgenommen, die hierzulande Asyl begehrten. Wir können stolz sein, dass so viele Menschen unser Land als einen Ort der Freiheit und Sicherheit schätzen und dass unsere Gesellschaft die Offenheit besaß und besitzt, ihnen Schutz zu bieten. Aber diese Offenheit war nie voraussetzungslos. Selbstverständlich wurden Asylanträge immer auf ihre Berechtigung hin überprüft und häufig auch abschlägig beschieden.\n\nIn den letzten Jahrzehnten haben wir immer wieder gesehen, dass es Länder gibt, aus denen besonders viele Menschen zu uns kamen, deren Anträge auf Asyl ganz offensichtlich unbegründet waren. Diese Entwicklung ist auch Folge dessen, dass Deutschland nach wie vor kein Einwanderungsgesetz besitzt, das Menschen einen klaren und nachvollziehbaren Weg eröffnen würde, nach Deutschland zu kommen, hier zu arbeiten, sich ein neues Leben aufzubauen. Das ist und bleibt ein Versäumnis, auch zum Nachteil unseres Landes, das wir in dieser Legislaturperiode endlich beheben müssen.\n\n({0})\n\nDas Asylrecht war für viele Menschen ein Umweg, über den sie Eintritt in unsere Gesellschaft zu finden hofften. Das ist menschlich verständlich, aber politisch wie rechtlich ein unhaltbarer Zustand. Wenn das Asylrecht als Einwanderungsrecht genutzt wird, dann strapaziert das nicht nur unseren Rechtsstaat; es belastet auch die Akzeptanz des Asylrechts. Gerade wer die Offenheit unserer Gesellschaft erhalten will, der muss dieses Recht rechtsstaatlich handhaben.\n\n({1})\n\nWir stellen darum nicht das Recht auf Asyl infrage. Ganz im Gegenteil: Wir wollen es mit Blick auf diese Länder so ausgestalten, dass es handhabbar bleibt; denn der Rechtsstaat muss seine Durchsetzungsfähigkeit beweisen und die Kontrolle behalten. Wir sehen doch, dass heute nur ein Bruchteil der Asylbewerber aus den Maghreb-Staaten bei uns anerkannt wird. Nur 6,3 Prozent der Antragsteller aus Marokko, 3,6 Prozent der Antragsteller aus Algerien und 2,8 Prozent der Antragsteller aus Tunesien haben zuletzt überhaupt einen Aufenthaltsstatus bei uns bekommen. Die Bundesregierung hat deutlich nachgewiesen, dass diese Länder strengen Ansprüchen genügen – eine Einschätzung, die übrigens die Niederlande und Österreich bereits beschlossen haben. Ein Blick nach Frankreich zeigt, dass die Vorschläge von Emmanuel Macron in eine ähnliche Richtung gehen. Es lohnt sich, hier hinzuschauen, wenn wir ein gemeinsames funktionierendes Asylrecht in Europa wollen.\n\n({2})\n\nAuch mit der Einstufung dieser Länder als sichere Herkunftsstaaten gibt es weiterhin Offenheit unseres Landes für diejenigen, die Opfer politischer Verfolgung sind. Doch die Voraussetzung für ein ausführliches Anerkennungsverfahren sollte bei Antragstellern aus diesen Ländern zumindest sein, dass sie glaubhafte Indizien für ihr Anliegen vorbringen können. Da gelten übrigens, wie bei dem Beschluss 2015 zum Westbalkan, die Worte Winfried Kretschmanns: Die Maßnahmen zur Verfahrensbeschleunigung beinhalten auch Restriktionen, aber sie stellen niemals das Asylrecht infrage.\n\n({3})\n\nWir wissen um verbleibende Unsicherheiten gerade für homosexuelle Menschen. Gerade deshalb gewährt unser Land auch weiterhin Menschen aus diesen Herkunftsstaaten Schutz, wenn ihnen ein individuelles Verfolgungsschicksal droht.\n\n({4})\n\nGleichzeitig brauchen wir ein Einwanderungsgesetz und gegebenenfalls als Überbrückung erleichterte Arbeitsvisa.\n\n({5})\n\nIch hoffe auf eine lösungsorientierte Debatte im Ausschuss; denn ich bin mir ganz sicher, dass die meisten hier im Saal unsere Anliegen teilen: das Grundrecht auf Asyl gewährleisten, schnellere Verfahren und für die, die berechtigterweise hierbleiben, gute Integrationsbedingungen.\n\nVielen Dank.\n\n({6})"
"1003394","Linda","Teuteberg","FDP","Member of Parliament","2018-03-01T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19017.pdf","\n\nDie von Ihnen geschilderten Umstände sind selbstverständlich in jeder Hinsicht unhaltbar. Das ändert aber nichts an der geschilderten Rechtslage, dass auch nach der Einstufung als sichere Herkunftsstaaten Menschen bei Verfolgung hier Asyl bekommen können. Gleichwohl ist es wichtig, zu beschleunigten Verfahren zu kommen, um die Akzeptanz des Asylrechts zu sichern.\n\n({0})"
"1003405","Linda","Teuteberg","FDP","Member of Parliament","2018-03-01T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19017.pdf","\n\nHerr Castellucci, auch nach längerer Redezeit frage ich mich: Was will die SPD? Man kann ja das eine tun und das andere nicht lassen.\n\n({0})\n\nAlso sind Sie, wie Sie in der letzten Legislaturperiode selbst beschlossen haben, für die Einstufung als sichere Herkunftsstaaten, und sind Sie auch dafür, ein Einwanderungsgesetz zu schaffen?\n\n({1})"
"1005424","Linda","Teuteberg","FDP","Member of Parliament","2018-04-19T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19026.pdf","\n\nSehr geehrte Frau Präsidentin! Meine sehr geehrten Damen und Herren! Die heutige Debatte ist leider ein Paradebeispiel für eine Zerrbilddiskussion. Die AfD hat es darin zu einer wahren Meisterschaft gebracht. Alles habe mit allem zu tun, haben Sie gerade gesagt. Ich ergänze: Bei Ihnen hat alles mit den üblichen Reizwörtern und Schlagworten zu tun.\n\nAber zur Sache: Der Sinn und Zweck und die Bedeutung des Global Compact for Migration, über den wir gerade debattieren, gerät bei Ihnen zu einer bizarren Karikatur. Man kann sicherlich über manche Schwerpunktsetzung der aktuellen Entwürfe diskutieren. Aber Tatsache ist: Es geht hier gerade nicht darum, Grenzen niederzureißen und eine ungehemmte Migration zu ermöglichen, sondern es geht darum, eine global geordnete, sichere Migration zu ermöglichen, unter anderem durch bessere Regeln zur Grenzsicherung, durch Bekämpfung von Schleuserbanden sowie durch verbesserte Regelungen zur Ausweispflicht und zur Rückübernahme durch die Herkunftsländer. All das ist notwendig, wenn wir die Flüchtlingsbewegungen in Zukunft human in den Griff bekommen wollen. Allein kann Deutschland, kann Europa das nicht schaffen. Dazu brauchen wir die Hilfe der Herkunftsländer, der Transitländer und unserer Partner in der Welt. Darum brauchen wir nicht weniger, sondern mehr internationale Zusammenarbeit.\n\n({0})\n\nStaatliche Souveränität sollte dabei gerade nicht unterlaufen werden. Dass das gut möglich ist, zeigt das aktuelle EU-Resettlement-Programm, an dem sich die Bundesrepublik beteiligt.\n\nEs ist darum richtig, dass wir auf globaler Ebene hier neue Wege gehen. Wir dürfen nichts unversucht lassen. Tatsache ist allerdings auch: Ein rechtlich unverbindliches Regelwerk wie der Compact wird uns da nicht entscheidend voranbringen, sondern wir Deutschen, wir Europäer müssen da selbst mehr tun. Wir dürfen die Augen nicht länger vor der Wirklichkeit verschließen. Und da ist das andere Zerrbild, das auf der anderen Seite gemalt wird – auch von Grünen, Linken und zum Teil von Sozialdemokraten –, bei dem manche immer noch so tun, als könne unser Land für jedermann offenstehen.\n\n({1})\n\nWir brauchen geregelte Zuwanderung. Dafür brauchen wir maßvolle Regeln für den Familiennachzug. Wir brauchen konsequente Abschiebung derer, die kein Recht auf Aufenthalt in unserem Land haben, und wir brauchen auch das Prinzip des sicheren Herkunftslandes, das Sie infrage stellen.\n\n({2})\n\nWer auf den Ruf nach Abschottung mit der Forderung nach offenen Grenzen für alle und jeden antwortet, der spielt den Populisten in die Hände. Dem schwierigen und ernsten Zielkonflikt zwischen grenzenloser Not und begrenzten Kapazitäten zur Integration von Flüchtlingen kann man nicht entkommen. Wir können aber versuchen – und das ist unsere Verantwortung –, ihn durch vorausschauende Politik zu entspannen.\n\n({3})\n\nSehr geehrte Damen und Herren, Politik beginnt mit der Betrachtung der Wirklichkeit und nicht damit, sie sich so zu malen, wie man sie gerne hätte.\n\n({4})\n\nDiese Wirklichkeit ist: Wir werden auch in Zukunft weltweit mit wachsenden Flüchtlingsströmen rechnen müssen – durch Klimawandel, wirtschaftliche Not und regionale Krisen. Die Wirklichkeit ist auch: Auch die Kräfte eines so starken Landes – und wir sind ein starkes Land – wie Deutschland sind endlich, ebenso die Akzeptanz seiner Bürger für Zuwanderung. Deshalb brauchen wir eine gesteuerte Zuwanderung statt einer ungesteuerten und eine neue Migrationspolitik: eine Politik, die Menschen in ihrer Heimat Perspektiven eröffnet, die Grenzen besser sichert, die legale Wege zur Einwanderung schafft und zugleich konsequent jene abschiebt, die kein Recht haben, sich in unserem Land aufzuhalten.\n\n({5})\n\nUnd das ist mir sehr wichtig; denn wer das Asylrecht bewahren will – und wir als Freie Demokraten wollen das –, der muss es auch konsequent anwenden.\n\n({6})\n\nAber damit das praktisch gelingen kann, müssen wir in Europa gemeinsam handeln, die Zusammenarbeit mit anderen Staaten in der Welt suchen und um echte Lösungen für eine humane, funktionierende und mehrheitsfähige Asylpolitik ringen.\n\nVielen Dank.\n\n({7})"
"1006252","Linda","Teuteberg","FDP","Member of Parliament","2018-04-26T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19029.pdf","\n\nHerr Präsident! Sehr geehrte Damen und Herren! Vieles ist gerade schon gesagt worden – viel Richtiges, viel Notwendiges, eigentlich Selbstverständliches. Vieles davon wenigstens zwei Jahre zu spät. Wichtig ist, dass es jetzt nicht beim absehbaren Ablauf bleibt: eine Empörungsmaschine, mit großem Staunen; man spürt, dass sich was ändern muss, und dann passiert doch nichts. Die Bundesregierung ist hier gefragt. Dass die rechtsstaatlich gesteuerte Migration eine zentrale Herausforderung dieser Legislaturperiode ist, war klar. Umso verwunderlicher ist es dann, dass die Aufstockung von Personal beim BAMF und auch bei anderen wichtigen Bundesbehörden keine Priorität in Ihrem Koalitionsvertrag hat, obwohl die Bundeskanzlerin in ihrer Regierungserklärung gesagt hat, dass bei diesem Thema wie durch ein Brennglas Probleme sichtbar geworden sind.\n\n({0})\n\nZugleich möchte ich deutlich machen, dass es nicht nur eine Frage von Quantität, sondern auch von Qualität ist. Ja, es braucht mehr Personal; aber die Probleme, die wir anhand dieses Einzelfalls erkennen, sind struktureller Natur. Ihnen können wir nicht nur mit mehr Personal begegnen. Jenseits des Fehlverhaltens Einzelner, um das es in diesem konkreten Fall geht, geht es eben um strukturelle, systemische Probleme, die das Ausmaß des Skandals, den wir noch aufzuklären haben, erst ermöglicht haben. Herr Kollege Middelberg, da kann ich Ihnen nicht ersparen, dass wir schon ein bisschen genereller werden und auf die Probleme eingehen. Denn der Einzelfall bringt erst die Aufmerksamkeit für diese Probleme.\n\nHerr Castellucci, Sie haben gerade gesagt, wir dürften nicht sagen, dass hier ein Vertrauensproblem vorliegen könnte. Aber mein Kollege Thomae hat ganz recht: Dass zum Beispiel erkennungsdienstliche Behandlungen unterlassen wurden, wissen wir schon unabhängig von den konkreten Ermittlungen bezüglich der betroffenen Mitarbeiter. Und das ist ein Sicherheitsproblem.\n\n({1})\n\nBundesminister Seehofer hat angekündigt, sein Ziel sei flächendeckende Sicherheit in Deutschland und gesteuerte Migration. Die Vorgänge beim BAMF allerdings zeigen: weniger ankündigen und zügig aufräumen, das ist hier gefragt.\n\n({2})\n\nEs muss uns darum gehen, dass wir Asylverfahren von hoher rechtsstaatlicher Qualität haben, die in angemessener Zeit bearbeitet werden. Uns muss es um Verfahren gehen, die den berechtigten Sicherheitsinteressen unseres Landes Rechnung tragen. Voraussetzung dafür sind eine zuverlässige Feststellung der Herkunft und der Identität der Geflüchteten und bei Bedarf und entsprechenden Hinweisen auch eine gründliche, zuverlässige Sicherheitsüberprüfung. Gerade hier hat es – das ist durch Recherchen einiger Medien und durch parlamentarische Anfragen erst zutage getreten – deutliche Lücken gegeben, und zwar bei der Namenserkennung, bei der Dialekt­erkennung, bei der Auslesung von Mobilfunkdaten – das alles sind notwendige Hilfsmittel für eine Plausibilitätsprüfung – und auch bei der Qualität und Unabhängigkeit der Dolmetscher.\n\nZum Thema „Sicherheitsüberprüfung beim BAMF“. Ich fand das sehr interessant. Dialektik ist ja eigentlich eine Spezialität der linken Seite, intellektuell ziemlich anspruchsvoll. Aber Herr Staatssekretär Mayer, auch Sie haben uns im Ausschuss verkaufen wollen, dass die tagesaktuelle Bearbeitung von Sicherheitshinweisen, zu der man beim Sicherheitsreferat des BAMF aufgrund von Überforderung überging – vorher wurden immer Einschätzungen an die Sicherheitsbehörden weitergegeben –, ein Mehr an Sicherheit ist. Natürlich: Wenn es darum geht, Informationen schneller weiterzugeben, dann ist das ein Mehr an Sicherheit. Wenn aber die eine Behörde in Hinweisen ertrinkt und deshalb die Informationen ohne Filterung und ohne vernünftige Rasterung einfach nur an andere Behörden weiterleitet, aber in den anderen Behörden auch nicht mehr Personal vorhanden ist, dann ertrinken die dortigen Mitarbeiter ebenso in den Hinweisen.\n\n({3})\n\nDeshalb ist tagesaktuelle Bearbeitung nur dann sinnvoll, wenn vorher nach vernünftigen Rastern gefiltert wird, sodass die Mitarbeiter, etwa beim Bundesamt für Verfassungsschutz und bei anderen Bundesbehörden, damit gut weiterarbeiten können.\n\n({4})\n\nSchließlich brauchen wir mehr und qualifiziertes Personal beim BAMF. Wir brauchen ein neues, wirksames Qualitätsmanagement. Wenn Sie dies konzentriert und rechtsstaatlich angehen, wenn Sie, statt Masterpläne anzukündigen, endlich die meisterhafte Umsetzung geltenden Rechts gewährleisten, dann haben Sie uns als konstruktive Serviceopposition an Ihrer Seite, dann können Sie auf uns zählen.\n\nDanke.\n\n({5})"
"1007589","Linda","Teuteberg","FDP","Member of Parliament","2018-06-07T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19036.pdf","\n\nSehr geehrter Herr Präsident! Meine verehrten Damen und Herren! Mein Vorredner, Herr Kollege Rix, hat es gerade auch schon angesprochen, aber ich möchte es noch einmal konkreter machen: Manche hier wollen glauben machen, wir würden über den Familiennachzug von Flüchtlingen im Allgemeinen sprechen. Aber – und das ist nun mal wichtig festzustellen –: Familiennachzug findet statt, und zwar in erheblichem Umfang. In den letzten Jahren sind jeweils über 100 000 Menschen pro Jahr auf diesem Weg nach Deutschland gekommen.\n\n({0})\n\nAls Angehörige von Menschen, die hier politisches Asyl erhalten haben, oder als Flüchtlinge, die nach der Genfer Flüchtlingskonvention anerkannt sind. Das ist gut so, und das ist ein enormer humanitärer Kraftakt, den dieses Land bereits leistet.\n\n({1})\n\nEinige wollen einen anderen Eindruck erwecken, und zwar die Konservativen, die den Eindruck erwecken wollen, sie würden den Familiennachzug vollständig unterbinden und stoppen, oder die linke Seite, die glauben machen will, dass hier generell eine Familienzusammenführung verhindert werden solle. Das ist beides eine krasse Verzerrung der Wirklichkeit, die eine vernünftige Debatte verhindert.\n\n({2})\n\nEs geht um eine vernünftige Begrenzung in den Fällen, in denen nur ein subsidiärer Schutzstatus besteht und die Bleibeperspektive also ohnehin gering ist. Das betrifft gegenwärtig gut ein Drittel der in Deutschland anerkannten Flüchtlinge. Hier eine Begrenzung vorzusehen, ist doppelt sinnvoll: zum einen, um die Belastungen für Länder und Kommunen ein Stück weit zu begrenzen, die in den letzten Jahren bereits Außerordentliches geleistet haben, und zum anderen, um die Migrationsbewegungen zu reduzieren, um Menschen nicht die falsche Hoffnung zu machen, sie könnten allein den gefährlichen Weg nach Deutschland antreten und dann ihre Familien nachholen. Auch das ist ein Beitrag, Fluchtbewegungen ein Stück weit in den Griff zu bekommen.\n\n({3})\n\nDieses Ziel ist auch das unsere. Wir haben aber für die Umsetzung andere Vorstellungen und deshalb früh einen eigenen Gesetzentwurf vorgelegt. Besonders kritisch ist die künstliche Obergrenze von 1 000 Personen pro Monat. Härtefälle lassen sich nicht kontingentieren; das zeigt Ihr Gesetzentwurf ja auch sehr deutlich; denn Sie nennen Kriterien, die zum Nachzug berechtigten, aber Sie erklären nicht, wie entschieden werden soll, wenn die zulässige Grenze erreicht ist.\n\nLiebe Kolleginnen und Kollegen, auch das Bundesverfassungsgericht hat deutlich gemacht: Der Gesetzgeber hat Gestaltungsspielraum beim Familiennachzug. Liebe Kollegen von den Grünen, Sie entwerten sogar den besonderen Stellenwert unseres Asylrechts, wenn Sie diese Abstufung rechtlicher Bindung nicht anerkennen.\n\n({4})\n\nWir Freie Demokraten wollen diesen Gestaltungsspielraum des Gesetzgebers rechtsstaatlich und vernünftig ausfüllen. Dass dieses Thema – obwohl es bei allem Streit um Zahlen offenbar um keine so ganz großen Zahlen geht – so viel Symbolkraft hat, liegt genau an dem erschütterten Vertrauen in die Steuerungs- und Gestaltungsfähigkeit begründet. Unsere Verantwortung ist es, zu steuern, was zu steuern ist. Wir haben dafür einen Vorschlag gemacht – ohne Obergrenze für Härtefälle, aber auch ohne Illusionen über die Herausforderungen auf dem Weg zu gelingender Integration.\n\n({5})\n\nIch hoffe – ich lade Sie alle dazu ein –, dass wir hier noch zu besseren Lösungen kommen.\n\nVielen Dank.\n\n({6})"
"1009011","Linda","Teuteberg","FDP","Member of Parliament","2018-06-15T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19040.pdf","\n\nSehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Die politischen Stiftungen in Deutschland sind ein Ergebnis und eine Innovation unserer Geschichte. Schon die Namen, die sie tragen, zeugen davon: Adenauer, Böll, Ebert, Luxemburg, Naumann und Seidel. Die Unterschiede zwischen den Personen, ihren Überzeugungen und Haltungen könnten zum Teil größer nicht sein, aber sie alle kämpften aus ihrer jeweiligen Perspektive für eine demokratischere und humanere Gesellschaft. Das gilt auch für die Stiftungen, die ihren Namen tragen. Wie Norbert Lammert kürzlich treffend beim Jubiläum der Naumann-Stiftung sagte:\n\nAlle nehmen den gleichen Auftrag wahr: Die Förderung von Demokratie und Freiheit mit jeweils eigenem Profil und mit gewollt unterschiedlichen Akzenten.\n\nDie Stiftungen wirken dabei nicht nur als Ideenlabore für Parteien und Gesellschaft, sie sind in dieser Form weltweit einmalig, auch als Förderer politischen Geistes und politischer Kultur. Durch die Begabtenförderung, die außerordentliche wissenschaftliche Befähigung und staatsbürgerliche Bildung verbindet, haben die Stiftungen über Jahrzehnte dafür gesorgt, dass die Demokratie in unserer Gesellschaft Wurzeln schlägt und die im besten Sinne politischer wird.\n\n({0})\n\nLiebe Kolleginnen und Kollegen, ich muss gar nicht auf Kaiser Wilhelm II., der sich an der Inschrift, die an diesem Hohen Hause angebracht ist, störte, Bezug nehmen, sondern ich kann auch Thomas Mann zitieren, der im Jahr 1918 bezeichnenderweise in seinen „Betrachtungen eines Unpolitischen“ sagte:\n\nIch will nicht Politik. Ich will Sachlichkeit, Ordnung und Anstand. … Ich bekenne mich tief überzeugt, dass das deutsche Volk die politische Demokratie niemals wird lieben können …\n\nThomas Mann hat rechtzeitig dazugelernt, viele deutsche Bildungsbürger haben dazugelernt, aber, liebe Kollegen von der AfD, Sie sind der lebendige Beweis, dass wir diese politische Bildung weiter brauchen;\n\n({1})\n\ndenn dieses Zitat zeigt, dass es in Deutschland lange schick war und manchmal noch ist, Politik und Parteien mit Verachtung zu begegnen. Richtig ist es deshalb nicht.\n\n({2})\n\nWeltweit wirken die Stiftungen als Botschafter unseres Landes, des Grundgesetzes, der Demokratie, übrigens auch durch einen zivilgesellschaftlichen Ansatz der Entwicklungsarbeit, den der erste Entwicklungshilfeminister im Kabinett Adenauer, Walter Scheel, entwickelte. Dass Deutschland heute in der Welt so hohes Ansehen genießt, Freunde und Ansprechpartner findet, die unsere Kultur schätzen und unsere Werte teilen, ist nicht zuletzt Ergebnis dieser jahrzehntelangen Arbeit.\n\nLiebe Kollegen, diese Vorrede war notwendig, um zu begründen, warum ich den vorliegenden Gesetzentwurf rundheraus ablehne. So interessant der Gedanke ist, den politischen Stiftungen einen grundsätzlich neuen Ordnungsrahmen zu geben und dies gegebenenfalls einfachgesetzlich zu regeln – auch die FDP hat das schon einmal erwogen –, so falsch wäre es, die Begabtenförderung, die Bildungsförderung aus den Stiftungszwecken zu streichen, wie Sie es vorschlagen.\n\nEbenso falsch wäre es, die Zuwendung an die Stiftungen um 450 Millionen Euro zu kürzen, wie Sie es vorschlagen; denn das wäre das Ende der Auslandsarbeit.\n\n({3})\n\nWer das will, der legt die Axt an einen Baum, der in der Vergangenheit reiche Früchte für unser Land und unsere Gesellschaft getragen hat.\n\nGeradezu infam wird es allerdings, wenn Sie den politischen Stiftungen unterstellen, dass ihre Finanzierung intransparent sei, dass sie keiner parlamentarischen Kontrolle unterlägen. Die Stiftungen dokumentieren ihre Arbeit in jährlichen, öffentlich zugänglichen Jahres- und Rechenschaftsberichten. Ihre Mittel unterliegen öffentlicher Kontrolle. Sie müssen Verwendungsnachweise einreichen, sie werden vom Bundesrechnungshof geprüft, die Berichte liegen dem Haushaltskontrollausschuss vor, und auch die Prüfberichte der Ministerien können jederzeit vom Parlament angefordert werden. Meine sehr geehrten Damen und Herren, nicht alles, was sich Ihrer Kenntnis entzieht, ist deshalb schon ein rechtsfreier Raum.\n\n({4})\n\nIhre Vorwürfe fügen sich natürlich in die von Ihnen oft betriebene Verächtlichmachung anderer Parteien und demokratischer Institutionen ein.\n\nBesonders dreist ist das – das haben hier schon andere Kollegen angesprochen; Stichwort „Lex AfD“ –, weil Sie sich nicht den üblichen Regeln stellen wollen. Linke und Grüne mussten selbstverständlich zwei Legislaturperioden diesem Haus angehören, ehe ihre Stiftungen Anspruch auf Zuwendungen bekamen. Was das über Ihre Redlichkeit aussagt, darüber mögen sich die Wählerinnen und Wähler ein Urteil bilden.\n\n({5})\n\nSehr geehrte Damen und Herren, liebe Kolleginnen und Kollegen, dieser Gesetzentwurf wird die Zustimmung der Freien Demokraten nicht finden.\n\n({6})"
"1009013","Linda","Teuteberg","FDP","Member of Parliament","2018-06-15T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19040.pdf","\n\nSelbstverständlich."
"1009015","Linda","Teuteberg","FDP","Member of Parliament","2018-06-15T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19040.pdf","\n\nNochmals: Nicht für alles, wofür Sie einen Gesetzesvorbehalt formulieren, gibt es auch einen. Ich habe alles dazu gesagt, zu den umfassenden Rechtsgrundlagen für die öffentliche Kontrolle. Sie können die Berichte einsehen. Es gibt dafür diese Regelungen.\n\n({0})\n\nWieder zurück zum Umgang mit Ihrem Gesetzentwurf, der diesen Tagesordnungspunkt bestimmt. Dieser Vorstoß sollte uns nicht davon abhalten, uns damit zu beschäftigen, wie wir den Ordnungsrahmen für politische Stiftungen zeitgemäß ausgestalten und verbessern können. Wir sollten hier als Parlamentarier Herr und Frau des Verfahrens sein, und nicht warten, bis uns das Bundesverfassungsgericht dafür einen Auftrag erteilt. Deshalb stimmen wir der Überweisung in den Ausschuss zu. Unser Ziel dabei muss sein, die politischen Stiftungen in ihrer Arbeit zu kräftigen und zu stärken; denn sie sind eine Säule unserer Demokratie; in den Worten Ralf ­Dahrendorfs: „verortet auf der Seite des Geistes, aber doch an der politischen Praxis orientiert“. Und damit von großem Wert für unser Land.\n\nVielen Dank für Ihre Aufmerksamkeit.\n\n({1})"
