id,firstname,lastname,faction,position,date, url,speech
"1002437","Philipp","Amthor","CDU/CSU","Member of Parliament","2018-02-21T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19013.pdf","\n\nSehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Am Ende dieser Aktuellen Stunde zum Thema „Demonstrationsrechte von Frauen stärken“ müssen wir feststellen, dass wir über das Thema eigentlich kaum gesprochen, sondern uns vielmehr mit uns selbst beschäftigt haben.\n\nWissen Sie, der traurige Ausgangspunkt ist doch der, dass beide Seiten des Parlaments, die rechte wie die linke Seite, eine Demonstration genutzt haben, um über ihre politischen Inhalte hier im Bundestag zu polemisieren. Das ist, glaube ich, nicht der richtige Weg,\n\n({0})\n\nund ich erkläre Ihnen auch gleich, warum. Wir sollten vor allem über eines ganz deutlich reden, nämlich über das Thema Rechtsstaat.\n\n({1})\n\nAber, meine Damen und Herren, bevor ich zum Thema Rechtsstaat komme, sage ich Ihnen eines: Ich als Staatsbürger hätte persönlich keine Lust, mich bei dieser Demonstration mit Herrn Bachmann gemein zu machen,\n\n({2})\n\naber ich hätte auch keine Lust, mich mit der Antifa gemein zu machen und vielleicht mit dem RAF-Anwalt Hans-Christian Ströbele Hand in Hand zu einer Gegendemonstration zu gehen. Das würde ich beides nicht machen.\n\n({3})\n\nGleichzeitig sage ich Ihnen eines: Aus rechtsstaatlicher Perspektive bin ich sehr froh, dass beide Gruppen hier in unserem tollen Rechtsstaat das Recht haben, zu demonstrieren.\n\n({4})\n\nDas ist nämlich der wichtige Punkt.\n\nBemühen wir doch als Ausgangspunkt das Bild von Justitia, die eine Augenbinde trägt. Sie trägt die Augenbinde nicht, weil sie Aspekte des Rechtsstaats ausblenden will, sondern weil ihr die politischen Positionen von Demonstranten egal sind. Und Fakt ist: Beide Seiten hatten das Recht, zu demonstrieren. Allein deshalb verbietet sich der Titel der Aktuellen Stunde. Wenn ich lese: „Demonstrationsrechte von Frauen stärken“: Wir können über Frauenrechte sprechen, aber Demonstrationsrechte gibt es für Männer und für Frauen.\n\n({5})\n\nArtikel 8 Grundgesetz gilt für alle Deutschen und nicht für Männer und Frauen unterschiedlich.\n\n({6})\n\nWenn wir über den Rechtsstaat sprechen, dann muss klar sein: Ja, wir haben hier Freiheiten, und beide Demonstrationsgruppen hatten die Freiheit, zu demonstrieren. Aber für beide Gruppen gibt es auch Grenzen.\n\nUnd Grenzen hin oder her: Wer bisher gar kein Thema war, das waren die Polizisten, die bei der Versammlung vor Ort waren. Ich habe mich mit den Polizisten unterhalten. Sie haben mir gesagt, dass es jetzt gegen beide Seiten Ermittlungsverfahren gibt, gegen die Störer und auch gegen die ursprünglichen Demonstranten. Sie sollten dazu stehen, dass es in einem Rechtsstaat dazugehört, dass aufgeklärt wird, und zwar auf beiden Seiten.\n\nFrau Lay, Frau Bayram und Herr Hilse, Sie waren alle an den Demonstrationen beteiligt. Jeder von Ihnen hat sich gut darin gemacht, auf den anderen zu schimpfen, aber keiner hat gesagt: Auch in unseren Reihen gab es Grenzüberschreitung. Das wäre doch eigentlich ein guter Punkt gewesen.\n\n({7})\n\nIch unterstütze hier jeden, der gegen diese Grenzüberschreitungen vorgeht; denn zum Rechtsstaat gehört nicht nur, zu sagen: „Ich berufe mich auf die Versammlungsfreiheit!“, sondern auch, dass jeder ordnungswidrige Verstoß gegen das Versammlungsgesetz und jede Straftat verfolgt wird.\n\nMachen Sie sich Gedanken darüber, was der richtige Ort ist, um das aufzuklären. Meine Damen und Herren, schauen wir uns das einmal unter kompetenziellen Gesichtspunkten an: Es geht hier um den Einsatz einer Landespolizei. – Glauben Sie allen Ernstes, dass es klug ist, unter dem Deckmantel einer Aktuellen Stunde hier im Deutschen Bundestag über das Für und Wider von Einzelentscheidungen bei einem Landespolizeieinsatz zu diskutieren?\n\n({8})\n\nIch glaube das nicht. Man muss sich auch fragen: Ist es richtig, hier über konkrete Verfahrensabläufe zu sprechen? Ist nicht ein Gericht die richtige Stelle dafür?\n\n({9})\n\nWir müssten eigentlich fragen: Was ist die richtige Stelle, um Grenzüberschreitungen anzugehen?\n\n({10})\n\n– Es freut mich, dass Sie das so sehen.\n\n({11})\n\n– Das ist gut.\n\nIch will auch Folgendes sagen: Beim Rechtsstaat geht es auch um Kontrolle, und wenn Kontrolle dazugehört, dann – das zumindest ist ein legitimer Punkt der AfD – muss sich auch die Polizei kontrollieren lassen. Wenn Sie hier aber sagen, die Polizei hätte sich zum Werkzeug der politischen Führung gemacht usw., dann zeigt das, dass Sie nicht das richtige Verständnis von der Polizei haben. Wir sind stolz auf unsere Polizisten. Wir stellen uns vor unsere Polizisten, und\n\n({12})\n\nwir wollen nicht, dass Sie sie hier zum Spielball der Politik machen.\n\n({13})\n\nInsofern werden wir das aufarbeiten.\n\nDer Rechtsstaat ist das Gebot der Stunde und nicht das gegenseitige Polemisieren. Ich freue mich, wenn wir irgendwann einmal substanziell über das Versammlungsrecht reden und nicht nur bei solchen Schaufensterdebatten.\n\nHerzlichen Dank.\n\n({14})"
"1002525","Philipp","Amthor","CDU/CSU","Member of Parliament","2018-02-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19014.pdf","\n\nFrau Präsidentin! Liebe Kolleginnen und Kollegen! Um es noch einmal ganz deutlich zu sagen: Die CDU/CSU-Bundestagsfraktion hat sich dafür eingesetzt, die Vollverschleierung im öffentlichen Raum zu begrenzen, und wir werden das auch fortsetzen. Das ist mit den Sozialdemokraten vereinbart, und dafür setzen wir uns ein.\n\n({0})\n\nWir wollen das alles aber verfassungskonform tun, und diesem Anliegen wird der Antrag der AfD einfach nicht gerecht. Bevor ich dazu komme, will ich aber, weil das in der Debatte bisweilen unterging, sagen: Überall, wo es rechtlich möglich ist, werden wir uns der Vollverschleierung entgegenstellen,\n\n({1})\n\nund zwar deshalb, weil wir fest davon überzeugt sind, dass Burka und Nikab in keiner Weise unserer Vorstellung von einem Rechtsstaat und einer deutschen Wertekultur entsprechen.\n\n({2})\n\nIch sage hier ausdrücklich: Die Religionsfreiheit gehört zu Deutschland, aber der politische Islam gehört nicht zu Deutschland, und gegen ihn werden wir uns wenden.\n\n({3})\n\nUnd überall dort, wo der politische Islam versucht, unsere offene Lebensweise zu beschränken, werden wir ihm mit der Härte des Rechtsstaates begegnen. Da sind mir auch die Zahlen, wie wenige das sind, egal – das wird es mit uns nicht geben.\n\n({4})\n\nNun aber in Richtung AfD, bevor Sie sich zu früh freuen: Wissen Sie, wenn wir von den Moslems verlangen, dass sie sich an unsere Regeln halten,\n\n({5})\n\ndann tun wir selbst gut daran, uns auch an unsere eigenen Regeln zu halten. Sie wissen vielleicht: Mit Ihrem Vorschlag operieren Sie ganz deutlich im grundrechtssensiblen Bereich der Religionsfreiheit. Ich kann Ihnen nur die Empfehlung geben: Wenn Sie da operieren, sollten Sie auch Ihr OP-Besteck kennen!\n\n({6})\n\nEs ist ja nicht nur so, dass Sie den Vorsitzenden des Rechtsausschusses stellen, sondern es ist auch ein Faktum, dass ein Viertel Ihrer Fraktion Juristen sind. Diese Expertise findet sich in dem Antrag aber in keiner Weise wieder.\n\n({7})\n\nVielmehr ist der Antrag mit heißer Nadel gestrickt und strotzt – ganz ehrlich – vor falschen Behauptungen. Das fängt schon mit dem Schutzbereich der Religionsfreiheit an. Sie behaupten, Burka-Tragen unterfalle nicht dem Schutzbereich der Religionsfreiheit. Wissen Sie, ich finde das auch nicht toll, aber die ständige Rechtsprechung des Bundesverfassungsgerichts und sogar das EGMR-Urteil, das Sie zitieren, besagen: Die Religionsfreiheit schützt auch das Burka-Tragen im Schutzbereich. – Erster Fehler.\n\nZweiter Fehler: Natürlich kann man Eingriffe in den Schutzbereich der Religionsfreiheit rechtfertigen, aber nach ständiger Rechtsprechung eben nur durch kollidierendes Verfassungsrecht. Dazu führen Sie substanziell gar nichts aus, sondern das, was Sie hier behaupten, und das, was Herr Curio hier behauptet hat, ist grober Unfug.\n\nNehmen wir einmal das Beispiel Menschenwürde. Die Menschenwürde ist eben kein Zwangskorsett, um das ganz deutlich zu sagen. Ich finde eine Burka ziemlich unwürdig, und ich finde es unwürdig, dass sich die Frauen dadurch auch zum Objekt machen lassen."
"1002527","Philipp","Amthor","CDU/CSU","Member of Parliament","2018-02-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19014.pdf","\n\nAber sehr gern, Herr Nolte. Herzliche Einladung!\n\n({0})"
"1002529","Philipp","Amthor","CDU/CSU","Member of Parliament","2018-02-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19014.pdf","\n\nHerr Nolte, ich finde es schön, dass Sie diese Frage stellen. Ich tendiere dazu, Ihnen zu sagen: Ja. Denn es gibt zu beidem noch kein gegenläufiges Urteil des Bundesverfassungsgerichts.\n\n({0})\n\nIch sage Ihnen ausdrücklich: Bei der Homo-Ehe habe auch ich damals verfassungsrechtliche Bedenken gesehen. Darüber muss man reden; da wird es Entscheidungen geben. Aber machen Sie sich eines klar: Hier jetzt so zu argumentieren, als seien wir die Rechtsbrecher – Sie haben nicht einmal das Gutachten des Wissenschaftlichen Dienstes gelesen, worin steht, dass Ihr hier vorgelegter Entwurf verfassungswidrig ist –,\n\n({1})\n\nist völliger Unsinn. Machen Sie lieber Ihre Arbeit richtig, und hören Sie mir einmal zu; dann können Sie nämlich noch etwas über die Verfassung lernen.\n\n({2})\n\nDie Menschenwürde hat Herr Curio als Stichwort angeführt und gesagt, die Menschenwürde sei jetzt hier das dem Entgegenstehende. Ich habe gesagt, ich finde die Burka für die Menschenwürde auch befremdlich; das ist nicht würdig. Aber Fakt ist: Die Menschenwürde schützt gleichzeitig nicht vor der autonomen Entscheidung, eine Burka zu tragen – so sinnlos wir das auch finden. Ich mache Ihnen das an einem Beispiel deutlich, das Sie vielleicht verstehen: Sie nehmen ja hier die Abgeordnetenfreiheit aus Artikel 38 des Grundgesetzes in Anspruch. Die zwingt Sie auch nicht dazu, richtige Anträge vorzulegen, sondern sie erlaubt es Ihnen, hier so einen Quatsch vorzulegen. Ganz ehrlich!\n\n({3})\n\nDann führen Sie noch das Recht auf Kommunikation an. Auch das ist absoluter Blödsinn. Wenn Sie sich da auf den EGMR stützen, kann ich Ihnen nur empfehlen, das Urteil zu lesen – und wenn Sie nicht, hätte das wenigstens einmal einer Ihrer Referenten tun sollen. Am Ende des Urteils gibt es nämlich ein Sondervotum der Richterin Angelika Nußberger – sie ist die deutsche ­EGMR-Richterin –, die sagt, dass dieses Recht auf Kommunikation verfassungsdogmatisch schief ist. Das hätten Sie einmal zur Kenntnis nehmen sollen. Aber offene Kommunikation ist ja nicht Ihre Stärke, da Sie sogar Ihre Parteitage verhüllen und da keine Journalisten zulassen. Ganz ehrlich!\n\n({4})"
"1002531","Philipp","Amthor","CDU/CSU","Member of Parliament","2018-02-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19014.pdf","\n\nJa?"
"1002533","Philipp","Amthor","CDU/CSU","Member of Parliament","2018-02-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19014.pdf","\n\nGerne. Es gibt so viele Punkte, die ich hier aufarbeiten kann. Machen Sie weiter!\n\n({0})"
"1002536","Philipp","Amthor","CDU/CSU","Member of Parliament","2018-02-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19014.pdf","\n\nGerne."
"1002538","Philipp","Amthor","CDU/CSU","Member of Parliament","2018-02-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19014.pdf","\n\nJa, super!"
"1002540","Philipp","Amthor","CDU/CSU","Member of Parliament","2018-02-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19014.pdf","\n\nTotal!"
"1002543","Philipp","Amthor","CDU/CSU","Member of Parliament","2018-02-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19014.pdf","\n\nGanz ehrlich, hätten Sie mal zugehört! Das ist genau das, was ich gesagt habe.\n\n({0})\n\nIch unterschreibe das, was Andi Scheuer gesagt hat, eins zu eins. Schauen Sie nach Bayern! Da kann man das nämlich kompetenziell beschränken. Das hat man in Bayern gemacht. In Bayern gibt es die Vollverschleierung in keiner Schule und in keiner Universität. Das wollen auch wir weiter ausweiten.\n\n({1})\n\nIch sage Ihnen zum Abschluss eines: Sie stellen sich hier hin und wollen die Retter des christlichen Abendlandes sein. Wir müssten für Ihr Anliegen aber die Verfassung ändern. Wenn man das machen würde, würden Sie die Axt an die Wurzel der Religionsfreiheit legen. Das Schrankensystem, das ich Ihnen gerade erklärt habe, hat das Bundesverfassungsgericht entwickelt, um christliche Minderheiten zu schützen. Das sollte doch für Sie das Entscheidende sein. Sie sind so weder die Retter des christlichen Abendlandes noch eine Rechtsstaatspartei. Machen Sie Ihre Arbeit ordentlich! Dann können wir im Innenausschuss darüber diskutieren.\n\nHerzlichen Dank.\n\n({2})"
