id,firstname,lastname,faction,position,date, url,speech
"1000417","Saskia","Esken","SPD","Member of Parliament","2017-11-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19003.pdf","\n\nVielen Dank, Frau Präsidentin. – Schade, dass der Kollege Schipanski nicht den Mut hatte, mir zu antworten.\n\nIn Ihren Reden wird immer wieder vom Digitalpakt gesprochen. Ich hätte gerne von Ihnen gewusst: Wo existiert dieser Digitalpakt? Es gibt keine Haushaltsmittel, es gibt keine mittelfristige Finanzplanung. Es gibt allenfalls Verhandlungen mit den Ländern, die ohne Not abgebrochen worden sind.\n\n({0})\n\nEs wurde in Aussicht gestellt, dass sie im Dezember abgeschlossen werden mit einem Vertrag. Aber ich kann bei weitem nicht sehen, wann dazu ein Termin vereinbart wird. Ich habe davon noch nichts gehört. Dazu hätte ich gerne eine Antwort gehabt.\n\n({1})"
"1000638","Saskia","Esken","SPD","Member of Parliament","2017-12-12T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19004.pdf","\n\nHerr Präsident! Sehr geehrte Damen und Herren! Ich darf zum Thema zurückkehren: Diese Vergangenheitsbewältigung ist schon erstaunlich. Unter der Unterschrift „Stärkung der Bürgerrechte“ verlangt die FDP das Ende der Vorratsdatenspeicherung, der VDS, und das Ende des Netzwerkdurchsetzungsgesetzes, des NetzDG.\n\n({0})\n\nEines haben die beiden Gesetze gemeinsam: Sie hatten noch gar keinen Anfang. Ihr Ende zu verlangen, ist also einigermaßen unlogisch. Deutliche Unterschiede gibt es aber in der Frage des Eingriffs in die Bürgerrechte. Insofern ist es fast noch befremdlicher, die beiden Gesetze unter dieser Unterschrift zusammenzufassen.\n\n({1})\n\nDie Vorratsdatenspeicherung würde Kommunikationsunternehmen dazu verpflichten, anlasslos und flächendeckend die Verbindungsdaten aller Bürgerinnen und Bürger zu speichern. Es ist kein Geheimnis, dass die Netzpolitiker der SPD dies für einen zu weit reichenden Eingriff in die Bürgerrechte halten und deshalb dagegengestimmt haben.\n\nDie Verpflichtung, potenziell rechtswidrige Inhalte bei Kenntnis zu löschen – das Prinzip „Notice and take down“ – ist dagegen nicht neu, auch nicht für soziale Netzwerke. Auch werden die Grenzen der Meinungsfreiheit durch das NetzDG nicht neu vermessen: Volksverhetzung, üble Verleumdung oder Androhung von Straftaten sind und bleiben verboten, und Zensur übrigens auch.\n\nNur am Rande: Wer glaubt, Facebook und Co. stünden für die Meinungsfreiheit und für Vielfalt der Meinungen, der hat das Geschäftsmodell nicht verstanden.\n\n({2})\n\nIch muss mich deshalb wundern, dass die FDP in ihrem Gesetzentwurf die VDS und das NetzDG in einen Sack steckt. Der Kollege Lindner hat dies bei anderer Gelegenheit auch mit dem Bundestrojaner gemacht. Das geht nun wirklich an der Sache vorbei. Ein bisschen präziser müssen wir schon sein, wenn es um so eine wichtige Sache wie die Bürgerrechte geht.\n\n({3})\n\nDer EuGH hat befunden, eine anlasslose flächendeckende VDS sei mit europäischen Grundrechten nicht vereinbar, und auch das OVG Münster hält die VDS für europarechtswidrig. Die Bundesnetzagentur hat die VDS deshalb bis zur Klärung durch das Bundesverfassungsgericht faktisch ausgesetzt.\n\nAuf europäischer Ebene wird derzeit – wir haben es gehört – eine räumlich und zeitlich begrenzte VDS diskutiert, also eben keine anlasslose und keine flächendeckende VDS. In dieser Situation halten wir es für angebracht – unabhängig davon, ob man nun dafür oder dagegen ist –, die Entscheidung des Bundesverfassungsgerichts abzuwarten, die Entwicklung des europäischen Vorschlags zu begleiten und dann tätig zu werden – und nicht heute, ohne jede Wirkung, außer natürlich für die Öffentlichkeit.\n\n({4})\n\nAuch das NetzDG wirkt noch gar nicht; dennoch glauben viele, man könne heute schon vorhersagen, wie es wirken werde, oder man könne schon in die Vergangenheit blicken und sagen, es habe gewirkt.\n\n({5})\n\nSehr lustig! Die grundsätzliche Kritik der FDP lautet, das NetzDG privatisiere die Rechtsdurchsetzung. Richtig ist: Das NetzDG ermöglicht die Rechtsdurchsetzung.\n\nAuch Sie und wir, wir alle mit unseren privaten kleinen Websites müssen bei Kenntnis rechtswidriger Inhalte aktiv werden, damit sie nicht weiterverbreitet werden. Außerdem müssen wir mit den Ermittlungsbehörden zusammenarbeiten, um eine Strafverfolgung zu ermöglichen; das ist vollkommen selbstverständlich. Wir finden, den sozialen Netzwerken kann man das auch abverlangen.\n\n({6})\n\nGleichzeitig bleiben Strafverfolgung und Rechtsprechung selbstverständlich Angelegenheit der Justiz. Wer beleidigt, bedroht oder hetzt, der muss sich vor Gericht verantworten. Dass die Strafverfolgung auch in der Fläche und in der Masse möglich ist, dafür sorgt das NetzDG."
"1000640","Saskia","Esken","SPD","Member of Parliament","2017-12-12T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19004.pdf","\n\nBitte?"
"1000642","Saskia","Esken","SPD","Member of Parliament","2017-12-12T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19004.pdf","\n\nJa. – Die Sorge, dass die Netzwerke aus Angst vor Bußgeldern mehr löschen könnten als notwendig, teilen wir. Deswegen hat die SPD eine Klarstellung dahin gehend erreicht, dass nicht etwa die einzelne Falscheinschätzung oder Nichtlöschung bußgeldbewehrt ist, sondern erst das strukturelle Versagen."
"1000644","Saskia","Esken","SPD","Member of Parliament","2017-12-12T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19004.pdf","\n\nJa. Ich habe es verstanden."
"1000646","Saskia","Esken","SPD","Member of Parliament","2017-12-12T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19004.pdf","\n\nJa.\n\n({0})\n\nDas hat der Kollege Fechner für mich eingespart; aber es scheint nicht zu zählen.\n\nWir werden die Wirkungen des NetzDG ganz klar von Anfang an, das heißt ab 1. Januar 2018, kritisch begleiten und dann mit Ihnen gemeinsam die Evaluation begleiten, und wir werden überlegen, wie es dann weitergeht.\n\nVielen Dank fürs Zuhören.\n\n({1})"
"1001802","Saskia","Esken","SPD","Member of Parliament","2018-02-01T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19011.pdf","\n\nHerr Kollege Thomae, was schätzen Sie, wie viele Jahre ein geflüchteter Mensch hier bei uns gut integriert sein muss, um Deutsch zu sprechen, eine Wohnung zu haben, diese Wohnung bezahlen zu können, eine Arbeit zu haben, damit Sie ihm erlauben würden, seine Familie nachzuholen?"
"1007734","Saskia","Esken","SPD","Member of Parliament","2018-06-07T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19036.pdf","\n\nFrau Präsidentin! Liebe Kolleginnen und Kollegen! Meine sehr verehrten Damen und Herren! „Datenschutz“ – der Kollege Höferlin hat es gesagt – ist schon ein seltsamer Begriff. Wir wollen ja keine Daten schützen; wir schützen Menschen vor dem Missbrauch ihrer Daten. Das Bundesverfassungsgericht hat dieses Grundrecht informationelle Selbstbestimmung genannt, weil die Menschen eben selbst darüber bestimmen sollen, was mit ihren Daten geschieht.\n\nIn den 1980er-Jahren war der Staat der einzige Akteur, der zu viel über uns wissen wollte. Wir haben damals vor dem gläsernen Bürger gewarnt, und wir haben uns nicht so viele Gedanken über den Adresshändler gemacht, der unsere Adresse bei einem Preisausschreiben gewonnen hatte. Das waren ja auch nicht so viele.\n\nHeute, im Zeitalter der Digitalisierung, machen wir uns übrigens immer noch Gedanken über den neugierigen Staat. Ich denke, wir tun das zu Recht; denn wenn ich mir die Gesamtschau der Überwachung anschaue, die das Bundesverfassungsgericht angemahnt hat, dann stelle ich fest: Wir haben allen Grund dazu.\n\nIm privaten Bereich gibt es aber mittlerweile viel mehr über uns zu wissen als nur die Postadresse, die irgendwo gehandelt wird. Was immer wir online erledigen, ob wir etwas suchen, etwas kaufen, ob wir Serien schauen – mit allem hinterlassen wir Spuren im Netz und machen uns damit ziemlich durchschaubar. Meinungsumfragen zeigen: 80 Prozent der deutschen Bevölkerung finden das beunruhigend; die Menschen wollen sich davor schützen können, dass ohne ihr Wissen und ohne ihr Einverständnis Daten gesammelt werden.\n\nWeil Daten keine Grenzen kennen, wurde mit der EG-Datenschutzrichtlinie 1995 ein erster Versuch gemacht, das Datenschutzrecht in der EU zu harmonisieren. Die Richtlinie wurde aber sehr unterschiedlich umgesetzt; es entstand ein Flickenteppich nationaler Regeln, die kaum durchsetzbar waren – schon gar nicht gegenüber den globalen Playern. Die haben gesagt: Ihr mit eurem komischen Datenschutz; den verstehen wir gar nicht.\n\nDie Datenschutz-Grundverordnung, die – anders als die Kollegin Cotar es verstanden hat – nicht am 25. Mai 2018, sondern vor zwei Jahren in Kraft getreten und jetzt wirksam geworden ist, will das ändern. Als unmittelbar geltendes Recht erlaubt sie nur wenige Sonderwege; die Ausrede vom Flickenteppich gilt also nicht mehr, und die rechtlichen Regelungen werden auch nicht durch 16 Landesdatenschutzbeauftragte wieder aufgeweicht. Dazu kommen drastisch erhöhte Bußgelder – alle haben es gehört –: 20 Millionen Euro oder bis zu 4 Prozent des weltweiten Jahresumsatzes. Da kommt dann schon was zusammen.\n\nAnsonsten, hört man jetzt, hat sich an den Pflichten von Privatleuten, Unternehmen und Institutionen nicht viel geändert. Wer sich bisher schon datenschutzkonform verhalten hat, hat also nichts zu befürchten. Aber wer hat das schon?\n\n({0})\n\nDas muss man ja einräumen. Auch wir Abgeordnete waren da nicht besser. Vermutlich haben selbst die Kollegen von der FDP, die die letzten vier Jahre und auch diese zwei Jahre Übergangsfrist in anderen beruflichen Verwendungen waren, da nicht nachgezogen.\n\n({1})\n\nIch weiß also sehr gut: Da draußen und hier drin gibt es viele\n\n({2})\n\n– ja, genau –, die die Vorteile eines endlich durchsetzungsfähigen Datenschutzrechtes jetzt nicht im Vordergrund sehen, die ich hier aufzeige. Sie sehen den für viele undurchschaubaren Aufwand, den sie als Verein oder als Unternehmen mit ihrer Website, mit ihrem Onlineshop treiben müssen. Das kostet Mühe, das kostet Geld. Das macht vielen auch Angst. Und, ja, manche Beratungen sind ihr Geld nicht wert, sondern schüren mehr Unsicherheit, als dass sie Hilfestellung geben.\n\n({3})\n\nAuch von denen, die aus Verunsicherung politisch Kapital schlagen wollen, liege Kollegin von der AfD, wird viel Blödsinn erzählt.\n\n({4})\n\nAlle Beispiele, die Sie genannt hatten, haben mit der Datenschutz-Grundverordnung gar nichts zu tun.\n\nDazu kommt natürlich die Angst vor den Bußgeldern. Ich bin mir aber sicher – der Staatssekretär hat es gesagt –: Die Datenschutzaufsichtsbehörden werden die Datenschutz-Grundverordnung mit Augenmaß umsetzen. Sie haben ohnehin das Gebot der Verhältnismäßigkeit anzuwenden. Bei erkennbarem Bemühen um den Datenschutz\n\n({5})\n\n– nix Willkür – werden sie erst einmal auf einen Fehler hinweisen und sagen, wie es besser zu machen ist; denn sie haben in ihrem Aufgabenkatalog nicht nur die Aufsicht, sondern auch die Beratung stehen.\n\nIch sage also: Die Datenschutz-Grundverordnung ist kein Grund zur Panik. Aber sie ist ein guter Anlass zum Aufräumen. – Na ja, wer räumt schon gerne auf? Aufräumen heißt hier, dass wir uns bewusst machen: Welche Daten besitzen wir? Welche Daten, insbesondere natürlich personenbezogene Daten, brauchen wir? Der Kollege, der davon gesprochen hat, dass das Datenschutzrecht offensichtlich fehle, sprach ja von nicht personenbezogenen Daten. Die sind von der Datenschutz-Grundverordnung gar nicht betroffen. Bitte immer schön auseinanderhalten!\n\n({6})\n\nWir müssen aufräumen mittels der Fragen: Welche personenbezogenen Daten brauchen wir, auf welche können wir verzichten, und wie gehen wir mit dem Rest um? Im Idealfall sollte dieses Aufräumen zu mehr Datenqualität führen. Weil übrigens auch das sichere Aufbewahren zu unseren Pflichten gehört, führt die Datenschutz-Grundverordnung auch zu mehr Datensicherheit. Insgesamt klingt das also für mich nach einer Win-win-Situation.\n\nIch räume ein Versäumnis ein. Das tue ich natürlich nicht gerne. Wir haben in den letzten zwei Jahren so wie alle anderen nicht nur bei unseren eigenen Pflichten ein bisschen geschlafen und räumen jetzt vielleicht noch ein bisschen auf. Nein, wir haben es leider auch verpasst, dieses wunderbar durchsetzungsfähige Datenschutzrecht mit einer Kampagne unter die Leute zu bringen, und zwar mit einer, die sie aktiv bei der Umsetzung unterstützt,\n\n({7})\n\nwie wir überhaupt viel zu oft Gesetze machen, ohne dafür zu werben und auch die Mittel und die Wege für die Umsetzung bereitzustellen."
"1007736","Saskia","Esken","SPD","Member of Parliament","2018-06-07T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19036.pdf","\n\nLetzter Satz. – Ich kann nur dafür plädieren, dass wir das bei der Ausstattung der Bundesbeauftragten für den Datenschutz und die Informationsfreiheit im Zuge der Haushaltsberatungen 2019 in Ordnung bringen\n\n({0})\n\nund unser Versäumnis damit ein Stück weit wiedergutmachen.\n\nVielen Dank.\n\n({1})"
"1011343","Saskia","Esken","SPD","Member of Parliament","2018-09-12T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19048.pdf","\n\nHerr Präsident! Liebe Kolleginnen und Kollegen! Meine sehr geehrten Damen und Herren! Wir reden in diesen Tagen viel über Verunsicherung, und auch der digitale Wandel hat seinen Anteil daran, dass Menschen Zukunftsängste haben, die wir ernst nehmen sollten. Was wird aus meiner Arbeit? Wie verändert sich mein Leben? Wer bestimmt über meine digitale Identität? Was machen diese datengetriebenen Unternehmen? Was macht der Staat mit meinen Daten?\n\nFür die Politik stellt sich deshalb die Frage, was die Menschen brauchen, damit sie sich souverän und mit Zuversicht auf den digitalen Wandel einlassen können. Da geht es um Investitionen in Teilhabe und Souveränität, aber auch um Sicherheit und Vertrauen.\n\nDer Zugang zu einem schnellen und sicheren Netz entscheidet über Teilhabe. Um diesen Zugang überall gleichermaßen zu ermöglichen – egal ob in der Stadt oder auf dem Land –, investieren wir mit den bereitgestellten Haushaltsmitteln und dem eingerichteten Digitalfonds Milliarden in den Ausbau von flächendeckenden und sicheren Gigabitnetzen. Ohne Breitband ist alles nichts, aber Breitband alleine ist eben nicht alles; denn zur Souveränität braucht man Kompetenzen, um in der digitalen Welt bestehen zu können.\n\nMit der digitalen Anbindung und Ausstattung der Schulen schaffen wir im Rahmen des Digitalpakts die Basis für eine zeitgemäße Bildung, die vom digitalen Wandel der Bildungspläne und von der Lehrerbildung durch die Länder begleitet werden muss. Mit der Qualifizierungsoffensive des Arbeitsministeriums legen wir wiederum den Grundstein für eine nationale Weiterbildungsstrategie, die es den Menschen ermöglicht, sich fit zu machen, fit zu halten und eben zuversichtlich in diese digitale Welt zu gehen.\n\nAber nicht nur die Wirtschaft, sondern auch der Staat soll seine Dienstleistungen digital anbieten – einfach, sicher, mobil –, und er soll seine Arbeit digital organisieren – transparent und effizient. Deshalb ermöglichen wir mit diesem Haushalt ganz erhebliche Investitionen und Anstrengungen des Bundes und der Länder für eine moderne und effiziente Verwaltung.\n\nTatsächlich werden die Integrität und die Sicherheit digitaler Strukturen, Technologien und Produkte zunehmend zur Grundlage allen öffentlichen und gesellschaftlichen Lebens. Wir von der SPD-Fraktion sehen die IT-Sicherheit deshalb als staatliche Aufgabe und Verantwortung an.\n\n({0})\n\nDazu kommen starke Bürger- und Verbraucherrechte auch in der digitalen Welt; denn ohne starke Schutzrechte und ohne soziale Sicherheit dürfen wir kein Vertrauen der Menschen in die Digitalisierung erwarten. Ohne Vertrauen wird der digitale Wandel tatsächlich scheitern; das ist meine Grundüberzeugung. Je weiter die Technologie sich entwickelt, je mächtiger sie wird, in je mehr Bereiche unseres Lebens sie vordringt, desto wahrer wird das.\n\nIch habe in Paris mit Cédric Villani sprechen können, dem Architekten der KI-Strategie der Macron-Regierung. Der Mann ist Mathematiker und Fields-Medaillen-Preisträger, also ein waschechter Nerd, und natürlich ein bekennender Fan der künstlichen Intelligenz. Aber auch er sagt: Wenn wir das Vertrauen der Menschen nicht gewinnen, wenn wir sie nicht mit Souveränität und starken Rechten ausstatten, dann werden sie uns von der Fahne gehen, dann werden wir die Chancen der künstlichen Intelligenz nicht nutzen können.\n\n({1})\n\nMeine sehr geehrten Damen und Herren, liebe Kolleginnen und Kollegen, das Gelingen des digitalen Wandels ist entscheidend für die Wettbewerbsfähigkeit unseres Landes und damit für die Beschäftigung, aber auch für die gesellschaftliche Entwicklung. Technologischer Fortschritt muss immer auch sozialer Fortschritt sein.\n\nWir investieren mit diesem Haushalt ganz erheblich in dieses Gelingen, und wir schaffen mit der politischen Gestaltung von Souveränität und Sicherheit die Grundlage für das Vertrauen der Menschen in diese Entwicklung.\n\nVielen Dank.\n\n({2})"
